date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-06,14:00 (06:00),Community Shield,FA Community Shield,Sun,Neutral,D,1 (4),1 (1),Chelsea,,,,"83,325",Per Mertesacker,3-4-3,Robert Madley,Match Report,
2017-08-11,19:45 (11:45),Premier League,Matchweek 1,Fri,Home,W,4,3,Leicester City,2.5,1.5,68,"59,387",Petr Čech,3-4-3,Mike Dean,Match Report,
2017-08-19,17:30 (09:30),Premier League,Matchweek 2,Sat,Away,L,0,1,Stoke City,1.5,0.7,76,"29,459",Petr Čech,3-4-3,Andre Marriner,Match Report,
2017-08-27,16:00 (08:00),Premier League,Matchweek 3,Sun,Away,L,0,4,Liverpool,0.6,3.1,52,"53,206",Laurent Koscielny,3-4-3,Craig Pawson,Match Report,
2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,0,Bournemouth,2.2,0.6,58,"59,262",Laurent Koscielny,3-4-3,Anthony Taylor,Match Report,
2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Home,W,3,1,de Köln,1.4,0.4,71,"59,359",Per Mertesacker,3-4-3,Javier Estrada,Match Report,
2017-09-17,13:30 (05:30),Premier League,Matchweek 5,Sun,Away,D,0,0,Chelsea,1.4,0.8,49,"41,478",Laurent Koscielny,3-4-3,Michael Oliver,Match Report,
2017-09-20,19:45 (11:45),EFL Cup,Third round,Wed,Home,W,1,0,Doncaster,,,57,"44,064",Per Mertesacker,3-4-3,Scott Duncan,Match Report,
2017-09-25,20:00 (12:00),Premier League,Matchweek 6,Mon,Home,W,2,0,West Brom,2.2,0.9,69,"59,134",Laurent Koscielny,3-4-3,Robert Madley,Match Report,
2017-09-28,20:00 (10:00),Europa Lg,Group stage,Thu,Away,W,4,2,by BATE Borisov,3.8,1.8,61,"13,100",Per Mertesacker,3-4-3,Daniel Stefański,Match Report,
2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Home,W,2,0,Brighton,2.4,0.4,64,"59,378",Petr Čech,3-4-3,Kevin Friend,Match Report,
2017-10-14,17:30 (09:30),Premier League,Matchweek 8,Sat,Away,L,1,2,Watford,1.0,1.6,54,"20,384",Per Mertesacker,3-4-3,Niel Swarbrick,Match Report,
2017-10-19,19:00 (10:00),Europa Lg,Group stage,Thu,Away,W,1,0,rs Red Star,1.5,0.7,60,"50,327",Petr Čech,3-4-3,Benoît Bastien,Match Report,
2017-10-22,13:30 (05:30),Premier League,Matchweek 9,Sun,Away,W,5,2,Everton,3.5,1.0,67,"39,189",Per Mertesacker,3-4-3,Craig Pawson,Match Report,
2017-10-24,19:45 (11:45),EFL Cup,Fourth round,Tue,Home,W,2,1,Norwich City,,,57,"58,444",Theo Walcott,3-4-3,Andy Madley,Match Report,Required Extra Time
2017-10-28,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,W,2,1,Swansea City,2.0,0.9,72,"59,493",Per Mertesacker,3-4-3,Lee Mason,Match Report,
2017-11-02,20:05 (13:05),Europa Lg,Group stage,Thu,Home,D,0,0,rs Red Star,0.8,1.1,63,"58,285",Theo Walcott,3-4-3,Luca Banti,Match Report,
