date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-06,14:00 (06:00),Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,,"83,325",Gary Cahill,3-4-3,Robert Madley,Match Report,
2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,2,3,Burnley,1.5,0.6,62,"41,616",Gary Cahill,3-4-3,Craig Pawson,Match Report,
2017-08-20,16:00 (08:00),Premier League,Matchweek 2,Sun,Away,W,2,1,Tottenham,0.7,0.7,32,"73,587",César Azpilicueta,3-5-1-1,Anthony Taylor,Match Report,
2017-08-27,13:30 (05:30),Premier League,Matchweek 3,Sun,Home,W,2,0,Everton,1.0,0.4,57,"41,382",César Azpilicueta,3-4-3,Jonathan Moss,Match Report,
2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,0.8,1.4,59,"30,923",César Azpilicueta,3-4-3,Lee Mason,Match Report,
2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,6,0,az Qarabağ FK,2.0,0.3,54,"41,150",Gary Cahill,3-4-3,Tasos Sidiropoulos,Match Report,
2017-09-17,13:30 (05:30),Premier League,Matchweek 5,Sun,Home,D,0,0,Arsenal,0.8,1.4,51,"41,478",Gary Cahill,3-4-3,Michael Oliver,Match Report,
2017-09-20,19:45 (11:45),EFL Cup,Third round,Wed,Home,W,5,1,Nott'ham Forest,,,66,"40,621",Gary Cahill,3-4-3,Chris Kavanagh,Match Report,
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,4,0,Stoke City,1.4,0.8,55,"29,661",César Azpilicueta,3-4-3,Mike Dean,Match Report,
2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Away,W,2,1,es Atlético Madrid,2.5,1.4,50,"60,643",Gary Cahill,3-5-1-1,Cüneyt Çakιr,Match Report,
2017-09-30,17:30 (09:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,0.5,0.9,39,"41,530",Gary Cahill,3-5-1-1,Martin Atkinson,Match Report,
2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Crystal Palace,0.8,1.7,57,"25,480",Gary Cahill,3-4-3,Andre Marriner,Match Report,
2017-10-18,19:45 (11:45),Champions Lg,Group stage,Wed,Home,D,3,3,it Roma,1.6,1.6,40,"41,105",Gary Cahill,3-5-2,Damir Skomina,Match Report,
2017-10-21,12:30 (04:30),Premier League,Matchweek 9,Sat,Home,W,4,2,Watford,1.9,1.9,52,"41,467",Gary Cahill,3-4-3,Jonathan Moss,Match Report,
2017-10-25,19:45 (11:45),EFL Cup,Fourth round,Wed,Home,W,2,1,Everton,,,54,"40,655",Gary Cahill,3-4-3,Niel Swarbrick,Match Report,
