date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-05,15:00 (07:00),Championship,Matchweek 1,Sat,Away,W,1,0,Burton Albion,47,"5,050",Sean Morrison,3-4-1-2,Geoff Eltringham,Match Report,,,
2017-08-08,19:45 (11:45),EFL Cup,First round,Tue,Home,W,2,1,Portsmouth,53,"6,592",Sean Morrison,4-4-2,Steve Martin,Match Report,Required Extra Time,,
2017-08-12,15:00 (07:00),Championship,Matchweek 2,Sat,Home,W,3,0,Aston Villa,35,"23,899",Sean Morrison,4-3-3,Tim Robinson,Match Report,,,
2017-08-15,19:45 (11:45),Championship,Matchweek 3,Tue,Home,W,2,0,Sheffield Utd,40,"17,844",Sean Morrison,4-2-3-1,Lee Mason,Match Report,,,
2017-08-19,15:00 (07:00),Championship,Matchweek 4,Sat,Away,W,2,1,Wolves,36,"27,068",Sean Morrison,4-2-3-1,Scott Duncan,Match Report,,,
2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,L,1,2,Burton Albion,52,"5,820",Bruno Ecuele Manga,5-3-2,John Busby,Match Report,,,
2017-08-26,15:00 (07:00),Championship,Matchweek 5,Sat,Home,W,2,1,QPR,51,"18,520",Sean Morrison,4-2-3-1,Simon Hooper,Match Report,,,
2017-09-09,15:00 (07:00),Championship,Matchweek 6,Sat,Away,D,1,1,Fulham,36,"20,984",Sean Morrison,4-2-3-1,Tony Harrington,Match Report,,,
2017-09-12,19:45 (11:45),Championship,Matchweek 7,Tue,Away,L,0,3,Preston,46,"10,796",Sean Morrison,4-2-3-1,Oliver Langford,Match Report,,,
2017-09-16,15:00 (07:00),Championship,Matchweek 8,Sat,Home,D,1,1,Sheffield Weds,40,"19,137",Sean Morrison,4-2-3-1,Lee Probert,Match Report,,,
2017-09-23,15:00 (07:00),Championship,Matchweek 9,Sat,Away,W,2,1,Sunderland,48,"25,733",Sean Morrison,4-3-3,Peter Bankes,Match Report,,,
2017-09-26,19:45 (11:45),Championship,Matchweek 10,Tue,Home,W,3,1,Leeds United,41,"27,160",Sean Morrison,4-1-4-1,Kevin Friend,Match Report,,,
2017-09-30,15:00 (07:00),Championship,Matchweek 11,Sat,Home,D,0,0,Derby County,45,"18,480",Sean Morrison,4-1-4-1,James Linington,Match Report,,,
2017-10-13,19:45 (11:45),Championship,Matchweek 12,Fri,Away,L,0,1,Birmingham City,50,"19,059",Sean Morrison,4-1-4-1,Geoff Eltringham,Match Report,,,
2017-10-21,15:00 (07:00),Championship,Matchweek 13,Sat,Away,W,1,0,Middlesbrough,41,"24,806",Sean Morrison,3-4-3,Andy Madley,Match Report,,,
2017-10-28,15:00 (07:00),Championship,Matchweek 14,Sat,Home,D,0,0,Millwall,57,"18,496",Sean Morrison,3-4-3,Steve Martin,Match Report,,,
