date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,D,0,0,Swansea City,2.0,0.3,60,"31,447",Steven Davis,4-2-3-1,Mike Jones,Match Report,
2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,3,2,West Ham,2.1,2.0,66,"31,424",Steven Davis,4-2-3-1,Lee Mason,Match Report,
2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Home,L,0,2,Wolves,,,58,"17,931",Maya Yoshida,4-2-3-1,James Linington,Match Report,
2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Huddersfield,0.7,1.4,55,"23,548",Steven Davis,4-2-3-1,Stuart Attwell,Match Report,
2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,2,Watford,0.3,0.7,53,"31,435",Steven Davis,4-2-3-1,Lee Probert,Match Report,
2017-09-16,12:30 (04:30),Premier League,Matchweek 5,Sat,Away,W,1,0,Crystal Palace,1.0,2.0,54,"24,199",Steven Davis,4-2-3-1,Robert Madley,Match Report,
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1.0,1.2,60,"31,930",Steven Davis,4-2-3-1,Craig Pawson,Match Report,
2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,1,2,Stoke City,1.4,2.4,70,"29,285",Steven Davis,4-2-3-1,Mike Jones,Match Report,
2017-10-15,16:00 (08:00),Premier League,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,1.5,1.2,62,"31,437",Maya Yoshida,4-4-2,Kevin Friend,Match Report,
2017-10-21,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,W,1,0,West Brom,2.0,0.4,65,"29,947",Steven Davis,4-1-2-1-2◆,Graham Scott,Match Report,
2017-10-29,13:30 (06:30),Premier League,Matchweek 10,Sun,Away,D,1,1,Brighton,0.3,1.2,48,"30,564",Steven Davis,4-1-4-1,Niel Swarbrick,Match Report,
2017-11-04,15:00 (08:00),Premier League,Matchweek 11,Sat,Home,L,0,1,Burnley,0.7,0.2,62,"30,491",Steven Davis,4-2-3-1,Lee Probert,Match Report,
2017-11-18,15:00 (08:00),Premier League,Matchweek 12,Sat,Away,L,0,3,Liverpool,0.4,2.0,39,"53,256",Steven Davis,4-2-3-1,Mike Jones,Match Report,
2017-11-26,13:30 (06:30),Premier League,Matchweek 13,Sun,Home,W,4,1,Everton,2.0,0.2,67,"30,461",Steven Davis,4-2-3-1,Kevin Friend,Match Report,
2017-11-29,20:00 (13:00),Premier League,Matchweek 14,Wed,Away,L,1,2,Manchester City,1.3,1.4,26,"53,407",Maya Yoshida,5-4-1,Paul Tierney,Match Report,
2017-12-03,13:30 (06:30),Premier League,Matchweek 15,Sun,Away,D,1,1,Bournemouth,1.5,0.9,51,"10,764",Steven Davis,4-2-3-1,Jonathan Moss,Match Report,
2017-12-10,12:00 (05:00),Premier League,Matchweek 16,Sun,Home,D,1,1,Arsenal,1.3,0.7,33,"31,643",Maya Yoshida,4-2-3-1,Robert Madley,Match Report,
2017-12-13,19:45 (12:45),Premier League,Matchweek 17,Wed,Home,L,1,4,Leicester City,1.5,1.8,53,"27,714",Steven Davis,4-2-3-1,Chris Kavanagh,Match Report,
2017-12-16,15:00 (08:00),Premier League,Matchweek 18,Sat,Away,L,0,1,Chelsea,0.5,1.4,46,"41,562",Maya Yoshida,3-4-3,Roger East,Match Report,
2017-12-23,15:00 (08:00),Premier League,Matchweek 19,Sat,Home,D,1,1,Huddersfield,1.3,1.1,53,"29,675",Steven Davis,4-2-3-1,Lee Probert,Match Report,
2017-12-26,12:30 (05:30),Premier League,Matchweek 20,Tue,Away,L,2,5,Tottenham,0.8,3.0,43,"55,412",Maya Yoshida,4-1-4-1,Graham Scott,Match Report,
2017-12-30,17:30 (10:30),Premier League,Matchweek 21,Sat,Away,D,0,0,Manchester Utd,0.6,1.7,46,"75,051",Maya Yoshida,4-2-3-1,Craig Pawson,Match Report,
