date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,D,0,0,Southampton,0.3,2.0,40,"31,447",Leon Britton,4-3-1-2,Mike Jones,Match Report,
2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Home,L,0,4,Manchester Utd,0.4,3.0,42,"20,862",Federico Fernández,3-1-4-2,Jonathan Moss,Match Report,
2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,4,1,MK Dons,,,67,"5,162",Àngel Rangel,4-2-3-1,Robert Jones,Match Report,
2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,0,Crystal Palace,0.7,0.9,47,"23,477",Federico Fernández,3-5-2,Andre Marriner,Match Report,
2017-09-10,16:00 (08:00),Premier League,Matchweek 4,Sun,Home,L,0,1,Newcastle Utd,1.2,1.0,62,"20,872",Federico Fernández,4-3-1-2,Mike Jones,Match Report,
2017-09-16,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,D,0,0,Tottenham,0.2,1.1,25,"65,366",Federico Fernández,3-5-2,Mike Dean,Match Report,
2017-09-19,20:00 (12:00),EFL Cup,Third round,Tue,Away,W,2,0,Reading,,,42,"8,729",Àngel Rangel,4-3-3,Andrew Davies,Match Report,
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,1,2,Watford,1.7,1.2,51,"20,372",Federico Fernández,3-5-2,Lee Mason,Match Report,
2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,1,West Ham,0.2,0.7,56,"56,922",Federico Fernández,4-3-1-2,Roger East,Match Report,
2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Home,W,2,0,Huddersfield,1.5,0.7,41,"20,657",Leon Britton,4-3-3,Paul Tierney,Match Report,
2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,L,1,2,Leicester City,0.8,1.9,56,"20,521",Leon Britton,4-3-3,Michael Oliver,Match Report,
2017-10-24,19:45 (11:45),EFL Cup,Fourth round,Tue,Home,L,0,2,Manchester Utd,,,43,"20,083",Àngel Rangel,4-2-3-1,Robert Madley,Match Report,
2017-10-28,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,L,1,2,Arsenal,0.9,2.0,28,"59,493",Federico Fernández,3-5-2,Lee Mason,Match Report,
2017-11-04,15:00 (08:00),Premier League,Matchweek 11,Sat,Home,L,0,1,Brighton,1.3,0.9,56,"20,822",Federico Fernández,4-3-3,Mike Dean,Match Report,
2017-11-18,15:00 (08:00),Premier League,Matchweek 12,Sat,Away,L,0,2,Burnley,0.6,1.6,61,"18,895",Federico Fernández,4-3-3,Martin Atkinson,Match Report,
2017-11-25,15:00 (08:00),Premier League,Matchweek 13,Sat,Home,D,0,0,Bournemouth,0.9,0.4,49,"20,228",Wilfried Bony,4-1-2-1-2◆,Stuart Attwell,Match Report,
2017-11-29,19:45 (12:45),Premier League,Matchweek 14,Wed,Away,L,0,1,Chelsea,0.1,1.5,39,"41,365",Wilfried Bony,4-3-1-2,Niel Swarbrick,Match Report,
2017-12-02,15:00 (08:00),Premier League,Matchweek 15,Sat,Away,L,1,2,Stoke City,0.4,1.1,55,"28,261",Wilfried Bony,4-1-2-1-2◆,Craig Pawson,Match Report,
2017-12-09,15:00 (08:00),Premier League,Matchweek 16,Sat,Home,W,1,0,West Brom,1.5,0.3,54,"19,580",Wilfried Bony,4-3-3,Mike Dean,Match Report,
2017-12-13,19:45 (12:45),Premier League,Matchweek 17,Wed,Home,L,0,4,Manchester City,0.6,2.7,22,"20,870",Wilfried Bony,4-5-1,Anthony Taylor,Match Report,
2017-12-18,20:00 (13:00),Premier League,Matchweek 18,Mon,Away,L,1,3,Everton,0.8,2.0,49,"37,580",Federico Fernández,4-3-3,Jonathan Moss,Match Report,
2017-12-23,15:00 (08:00),Premier League,Matchweek 19,Sat,Home,D,1,1,Crystal Palace,0.5,1.3,64,"20,354",Federico Fernández,4-3-3,Craig Pawson,Match Report,
2017-12-26,17:30 (10:30),Premier League,Matchweek 20,Tue,Away,L,0,5,Liverpool,0.4,3.1,45,"52,850",Federico Fernández,4-5-1,Kevin Friend,Match Report,
2017-12-30,15:00 (08:00),Premier League,Matchweek 21,Sat,Away,W,2,1,Watford,1.1,1.2,49,"20,002",Federico Fernández,4-2-2-2,Martin Atkinson,Match Report,
2018-01-02,19:45 (12:45),Premier League,Matchweek 22,Tue,Home,L,0,2,Tottenham,0.4,1.3,33,"20,615",Àngel Rangel,5-3-2,Robert Madley,Match Report,
2018-01-06,15:00 (08:00),FA Cup,Third round,Sat,Away,D,0,0,Wolves,,,53,"22,976",Federico Fernández,3-5-2,Anthony Taylor,Match Report,
2018-01-13,15:00 (08:00),Premier League,Matchweek 23,Sat,Away,D,1,1,Newcastle Utd,1.3,1.4,58,"51,444",Kyle Bartley,4-4-2,Graham Scott,Match Report,
2018-01-17,19:45 (12:45),FA Cup,Third round,Wed,Home,W,2,1,Wolves,,,55,"8,294",Federico Fernández,4-2-3-1,Chris Kavanagh,Match Report,
2018-01-22,20:00 (13:00),Premier League,Matchweek 24,Mon,Home,W,1,0,Liverpool,0.2,2.5,29,"20,886",Federico Fernández,5-4-1,Niel Swarbrick,Match Report,
2018-01-27,15:00 (08:00),FA Cup,Fourth round,Sat,Away,D,1,1,Notts County,,,74,"9,802",Kyle Bartley,3-4-3,Mike Jones,Match Report,
,,,,,,,,,,,,,,,,,,
