date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,0.5,2.1,45,"74,928",Mark Noble,4-2-3-1,Martin Atkinson,Match Report,
2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,2,3,Southampton,2.0,2.1,34,"31,424",Mark Noble,4-2-3-1,Lee Mason,Match Report,
2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,2,0,Cheltenham,,,66,"6,259",Mark Noble,4-3-3,Oliver Langford,Match Report,
2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,0,3,Newcastle Utd,0.6,2.3,63,"52,093",Mark Noble,4-2-3-1,Niel Swarbrick,Match Report,
2017-09-11,20:00 (12:00),Premier League,Matchweek 4,Mon,Home,W,2,0,Huddersfield,1.7,0.4,44,"56,977",Winston Reid,3-4-3,Kevin Friend,Match Report,
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,D,0,0,West Brom,0.3,0.7,63,"24,942",Winston Reid,3-4-3,Paul Tierney,Match Report,
2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Home,W,3,0,Bolton,,,67,"35,806",Mark Noble,4-4-2,Simon Hooper,Match Report,
2017-09-23,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,L,2,3,Tottenham,0.6,1.2,49,"56,988",Mark Noble,3-4-3,Michael Oliver,Match Report,
2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,1,0,Swansea City,0.7,0.2,44,"56,922",Mark Noble,4-4-2,Roger East,Match Report,
2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,1,1,Burnley,0.9,1.2,38,"20,945",Winston Reid,4-4-2,Stuart Attwell,Match Report,
2017-10-20,20:00 (12:00),Premier League,Matchweek 9,Fri,Home,L,0,3,Brighton,0.7,1.4,65,"56,977",Winston Reid,4-2-3-1,Martin Atkinson,Match Report,
2017-10-25,20:00 (12:00),EFL Cup,Fourth round,Wed,Away,W,3,2,Tottenham,,,39,"36,168",Mark Noble,3-4-1-2,Mike Dean,Match Report,
2017-10-28,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,D,2,2,Crystal Palace,0.8,2.6,45,"25,242",Mark Noble,3-5-2,Robert Madley,Match Report,
2017-11-04,17:30 (10:30),Premier League,Matchweek 11,Sat,Home,L,1,4,Liverpool,1.2,2.7,48,"56,961",Mark Noble,3-4-3,Niel Swarbrick,Match Report,
2017-11-19,16:00 (09:00),Premier League,Matchweek 12,Sun,Away,L,0,2,Watford,1.6,1.0,42,"20,018",Mark Noble,4-3-3,Andre Marriner,Match Report,
2017-11-24,20:00 (13:00),Premier League,Matchweek 13,Fri,Home,D,1,1,Leicester City,0.9,0.4,50,"56,897",Winston Reid,4-2-3-1,Martin Atkinson,Match Report,
2017-11-29,20:00 (13:00),Premier League,Matchweek 14,Wed,Away,L,0,4,Everton,1.1,1.5,56,"38,242",Winston Reid,4-1-4-1,Michael Oliver,Match Report,
2017-12-03,16:00 (09:00),Premier League,Matchweek 15,Sun,Away,L,1,2,Manchester City,0.6,2.3,24,"54,203",Pablo Zabaleta,3-5-1-1,Mike Dean,Match Report,
