date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-08,20:45 (11:45),Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,,,37,"30,421",Antonio Valencia,3-5-2,Gianluca Rocchi,Match Report,
2017-08-13,16:00 (08:00),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,2.1,0.5,55,"74,928",Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,
2017-08-19,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,3.0,0.4,58,"20,862",Antonio Valencia,4-2-3-1,Jonathan Moss,Match Report,
2017-08-26,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,2.8,0.9,69,"75,021",Antonio Valencia,4-2-3-1,Michael Oliver,Match Report,
2017-09-09,17:30 (09:30),Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,2.1,1.2,63,"29,320",Antonio Valencia,4-3-3,Niel Swarbrick,Match Report,
2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,3.4,0.6,60,"73,854",Paul Pogba,4-2-3-1,Ruddy Buquet,Match Report,
2017-09-17,16:00 (08:00),Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,2.9,1.1,49,"75,042",Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2017-09-20,20:00 (12:00),EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,,,69,"54,256",Michael Carrick,4-2-3-1,Graham Scott,Match Report,
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,1.2,1.0,40,"31,930",Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,
2017-09-28,00:45 (11:45),Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,4.3,0.6,62,"29,073",Ashley Young,3-4-3,Jonas Eriksson,Match Report,
2017-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,4,0,Crystal Palace,2.8,0.4,59,"75,118",David de Gea,4-2-3-1,Mike Dean,Match Report,
2017-10-14,12:30 (04:30),Premier League,Matchweek 8,Sat,Away,D,0,0,Liverpool,0.2,1.5,38,"52,912",Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,
2017-10-18,19:45 (11:45),Champions Lg,Group stage,Wed,Away,W,1,0,pt Benfica,0.6,0.5,64,"57,684",Antonio Valencia,4-2-3-1,Felix Zwayer,Match Report,
2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,L,1,2,Huddersfield,0.8,1.2,77,"24,426",Antonio Valencia,4-2-3-1,Lee Mason,Match Report,
2017-10-24,19:45 (11:45),EFL Cup,Fourth round,Tue,Away,W,2,0,Swansea City,,,57,"20,083",Chris Smalling,3-4-1-2,Robert Madley,Match Report,
2017-10-28,12:30 (04:30),Premier League,Matchweek 10,Sat,Home,W,1,0,Tottenham,0.8,1.2,45,"75,034",Antonio Valencia,3-4-1-2,Jonathan Moss,Match Report,
2017-10-31,19:45 (12:45),Champions Lg,Group stage,Tue,Home,W,2,0,pt Benfica,2.7,0.9,51,"74,437",Chris Smalling,4-2-3-1,Gediminas Mažeika,Match Report,
2017-11-05,16:30 (09:30),Premier League,Matchweek 11,Sun,Away,L,0,1,Chelsea,0.7,1.6,46,"41,615",Antonio Valencia,3-4-1-2,Anthony Taylor,Match Report,
2017-11-18,17:30 (10:30),Premier League,Matchweek 12,Sat,Home,W,4,1,Newcastle Utd,3.1,1.1,65,"75,035",Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,
2017-11-22,20:45 (12:45),Champions Lg,Group stage,Wed,Away,L,0,1,ch Basel,1.5,1.1,68,"36,000",Paul Pogba,4-3-3,Daniele Orsato,Match Report,
2017-11-25,15:00 (08:00),Premier League,Matchweek 13,Sat,Home,W,1,0,Brighton,1.2,0.5,58,"75,018",Antonio Valencia,4-2-3-1,Niel Swarbrick,Match Report,
2017-11-28,20:00 (13:00),Premier League,Matchweek 14,Tue,Away,W,4,2,Watford,1.2,1.4,41,"20,552",Antonio Valencia,3-4-3,Jonathan Moss,Match Report,
2017-12-02,17:30 (10:30),Premier League,Matchweek 15,Sat,Away,W,3,1,Arsenal,1.8,4.7,25,"59,547",Antonio Valencia,3-4-1-2,Andre Marriner,Match Report,
2017-12-05,19:45 (12:45),Champions Lg,Group stage,Tue,Home,W,2,1,ru CSKA Moscow,2.9,0.8,56,"74,669",Antonio Valencia,3-4-1-2,Gianluca Rocchi,Match Report,
2017-12-10,16:30 (09:30),Premier League,Matchweek 16,Sun,Home,L,1,2,Manchester City,1.4,1.7,36,"74,847",Antonio Valencia,4-2-3-1,Michael Oliver,Match Report,
2017-12-13,20:00 (13:00),Premier League,Matchweek 17,Wed,Home,W,1,0,Bournemouth,1.1,0.8,57,"74,798",Antonio Valencia,4-2-3-1,Graham Scott,Match Report,
2017-12-17,14:15 (07:15),Premier League,Matchweek 18,Sun,Away,W,2,1,West Brom,0.7,1.1,56,"24,782",Antonio Valencia,4-2-3-1,Anthony Taylor,Match Report,
2017-12-20,20:00 (13:00),EFL Cup,Quarter-finals,Wed,Away,L,1,2,Bristol City,,,55,"26,088",Zlatan Ibrahimović,4-3-3,Mike Dean,Match Report,
2017-12-23,19:45 (12:45),Premier League,Matchweek 19,Sat,Away,D,2,2,Leicester City,1.9,1.4,51,"32,202",Paul Pogba,4-2-3-1,Jonathan Moss,Match Report,
2017-12-26,15:00 (08:00),Premier League,Matchweek 20,Tue,Home,D,2,2,Burnley,2.0,0.5,71,"75,046",Paul Pogba,4-2-3-1,Martin Atkinson,Match Report,
2017-12-30,17:30 (10:30),Premier League,Matchweek 21,Sat,Home,D,0,0,Southampton,1.7,0.6,54,"75,051",Paul Pogba,4-2-3-1,Craig Pawson,Match Report,
2018-01-01,17:30 (10:30),Premier League,Matchweek 22,Mon,Away,W,2,0,Everton,1.4,1.2,60,"39,188",Paul Pogba,4-3-3,Andre Marriner,Match Report,
2018-01-05,20:00 (13:00),FA Cup,Third round,Fri,Home,W,2,0,Derby County,,,66,"73,899",Paul Pogba,4-1-4-1,Kevin Friend,Match Report,
2018-01-15,20:00 (13:00),Premier League,Matchweek 23,Mon,Home,W,3,0,Stoke City,1.5,1.3,60,"74,726",Antonio Valencia,4-2-3-1,Anthony Taylor,Match Report,
2018-01-20,15:00 (08:00),Premier League,Matchweek 24,Sat,Away,W,1,0,Burnley,0.8,1.0,52,"21,841",Antonio Valencia,4-3-3,Mike Dean,Match Report,
,,,,,,,,,,,,,,,,,,
2018-01-26,19:55 (12:55),FA Cup,Fourth round,Fri,Away,W,4,0,Yeovil Town,,,74,"9,195",Michael Carrick,4-3-3,Paul Tierney,Match Report,
2018-01-31,20:00 (13:00),Premier League,Matchweek 25,Wed,Away,L,0,2,Tottenham,1.0,1.5,48,"81,978",Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2018-02-03,15:00 (08:00),Premier League,Matchweek 26,Sat,Home,W,2,0,Huddersfield,1.6,0.2,74,"74,742",Antonio Valencia,4-2-3-1,Stuart Attwell,Match Report,
2018-02-11,14:15 (07:15),Premier League,Matchweek 27,Sun,Away,L,0,1,Newcastle Utd,1.9,0.5,64,"52,309",Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,
2018-02-17,17:30 (10:30),FA Cup,Fifth round,Sat,Away,W,2,0,Huddersfield,,,46,"17,861",Michael Carrick,4-3-3,Kevin Friend,Match Report,
2018-02-21,20:45 (12:45),Champions Lg,Round of 16,Wed,Away,D,0,0,es Sevilla,0.7,2.0,43,"39,725",Antonio Valencia,4-3-3,Clément Turpin,Match Report,Leg 1 of 2
2018-02-25,14:05 (07:05),Premier League,Matchweek 28,Sun,Home,W,2,1,Chelsea,1.2,1.7,44,"75,060",Antonio Valencia,4-1-2-1-2◆,Martin Atkinson,Match Report,
2018-03-05,20:00 (13:00),Premier League,Matchweek 29,Mon,Away,W,3,2,Crystal Palace,1.2,0.6,69,"25,840",Antonio Valencia,4-3-3,Niel Swarbrick,Match Report,
2018-03-10,12:30 (05:30),Premier League,Matchweek 30,Sat,Home,W,2,1,Liverpool,0.7,0.7,33,"74,855",Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,
2018-03-13,19:45 (12:45),Champions Lg,Round of 16,Tue,Home,L,1,2,es Sevilla,1.9,1.7,51,"74,909",Antonio Valencia,4-1-4-1,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won
2018-03-17,19:45 (12:45),FA Cup,Quarter-finals,Sat,Home,W,2,0,Brighton,,,61,"74,241",Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2018-03-31,15:00 (07:00),Premier League,Matchweek 32,Sat,Home,W,2,0,Swansea City,2.2,0.2,66,"75,038",Antonio Valencia,4-2-3-1,Robert Madley,Match Report,
2018-04-07,17:30 (09:30),Premier League,Matchweek 33,Sat,Away,W,3,2,Manchester City,1.1,2.6,36,"54,259",Antonio Valencia,4-3-3,Martin Atkinson,Match Report,
2018-04-15,16:00 (08:00),Premier League,Matchweek 34,Sun,Home,L,0,1,West Brom,0.7,0.7,70,"75,095",Antonio Valencia,4-3-3,Paul Tierney,Match Report,
2018-04-18,19:45 (11:45),Premier League,Matchweek 35,Wed,Away,W,2,0,Bournemouth,1.3,1.2,55,"10,952",David de Gea,4-3-3,Graham Scott,Match Report,
2018-04-21,17:15 (09:15),FA Cup,Semi-finals,Sat,Home,W,2,1,Tottenham,,,36,"84,667",Antonio Valencia,4-3-3,Anthony Taylor,Match Report,
2018-04-29,16:30 (08:30),Premier League,Matchweek 36,Sun,Home,W,2,1,Arsenal,1.7,0.5,59,"75,035",Antonio Valencia,4-3-3,Kevin Friend,Match Report,
2018-05-04,20:00 (12:00),Premier League,Matchweek 37,Fri,Away,L,0,1,Brighton,0.8,1.0,68,"30,611",Ashley Young,4-3-3,Craig Pawson,Match Report,
2018-05-10,19:45 (11:45),Premier League,Matchweek 31,Thu,Away,D,0,0,West Ham,0.8,0.6,56,"56,902",Antonio Valencia,5-3-2,Jonathan Moss,Match Report,
2018-05-13,15:00 (07:00),Premier League,Matchweek 38,Sun,Home,W,1,0,Watford,0.4,0.6,52,"75,049",Michael Carrick,4-3-3,Lee Mason,Match Report,
2018-05-19,17:15 (09:15),FA Cup,Final,Sat,Away,L,0,1,Chelsea,,,67,"87,647",Antonio Valencia,4-4-2◆,Michael Oliver,Match Report,
2018-08-10,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,W,2,1,Leicester City,1.5,1.8,47,"74,439",Paul Pogba,4-3-3,Andre Marriner,Match Report,
2018-08-19,16:00 (08:00),Premier League,Matchweek 2,Sun,Away,L,2,3,Brighton,1.4,1.7,66,"30,592",Paul Pogba,4-3-3,Kevin Friend,Match Report,
2018-08-27,20:00 (12:00),Premier League,Matchweek 3,Mon,Home,L,0,3,Tottenham,1.5,1.2,57,"74,400",Antonio Valencia,3-5-1-1,Craig Pawson,Match Report,
2018-09-02,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,2,0,Burnley,2.5,0.8,53,"21,525",Antonio Valencia,4-3-3,Jonathan Moss,Match Report,
2018-09-15,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,W,2,1,Watford,1.9,1.3,57,"20,537",Antonio Valencia,4-3-3,Mike Dean,Match Report,
2018-09-19,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,3,0,ch Young Boys,2.0,1.7,56,"31,120",Paul Pogba,4-3-3,Deniz Aytekin,Match Report,
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,0.6,1.0,64,"74,489",Antonio Valencia,4-3-3,Kevin Friend,Match Report,
2018-09-25,20:00 (12:00),EFL Cup,Third round,Tue,Home,D,2 (7),2 (8),Derby County,,,48,"55,227",Ashley Young,4-2-3-1,Stuart Attwell,Match Report,Derby County won on penalty kicks following extra time
2018-09-29,12:30 (04:30),Premier League,Matchweek 7,Sat,Away,L,1,3,West Ham,0.7,1.4,52,"56,938",Ashley Young,5-3-2,Michael Oliver,Match Report,
2018-10-02,20:00 (12:00),Champions Lg,Group stage,Tue,Home,D,0,0,es Valencia,0.9,0.4,52,"73,569",Antonio Valencia,4-3-3,Slavko Vinčič,Match Report,
2018-10-06,17:30 (09:30),Premier League,Matchweek 8,Sat,Home,W,3,2,Newcastle Utd,1.9,1.6,72,"74,519",Ashley Young,4-3-3,Anthony Taylor,Match Report,
2018-10-20,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,D,2,2,Chelsea,0.8,1.8,38,"40,721",Ashley Young,4-2-3-1,Mike Dean,Match Report,
2018-10-23,20:00 (12:00),Champions Lg,Group stage,Tue,Home,L,0,1,it Juventus,0.3,1.3,40,"73,946",Ashley Young,4-2-3-1,Danilo Grujić,Match Report,
2018-10-28,16:00 (09:00),Premier League,Matchweek 10,Sun,Home,W,2,1,Everton,2.3,1.8,54,"74,525",Ashley Young,4-3-3,Jonathan Moss,Match Report,
2018-11-03,12:30 (05:30),Premier League,Matchweek 11,Sat,Away,W,2,1,Bournemouth,3.0,1.6,51,"10,792",Ashley Young,4-3-3,Paul Tierney,Match Report,
2018-11-07,21:00 (13:00),Champions Lg,Group stage,Wed,Away,W,2,1,it Juventus,0.8,1.9,45,"41,470",Ashley Young,4-3-3,Ovidiu Hațegan,Match Report,
2018-11-11,16:30 (09:30),Premier League,Matchweek 12,Sun,Away,L,1,3,Manchester City,1.1,1.9,35,"54,316",Ashley Young,4-3-3,Anthony Taylor,Match Report,
2018-11-24,15:00 (08:00),Premier League,Matchweek 13,Sat,Home,D,0,0,Crystal Palace,0.9,1.2,59,"74,516",Ashley Young,4-3-3,Lee Mason,Match Report,
2018-11-27,20:00 (13:00),Champions Lg,Group stage,Tue,Home,W,1,0,ch Young Boys,1.3,0.6,66,"72,876",Antonio Valencia,4-2-3-1,Felix Brych,Match Report,
2018-12-01,17:30 (10:30),Premier League,Matchweek 14,Sat,Away,D,2,2,Southampton,1.1,0.7,60,"30,187",Ashley Young,5-3-2,Kevin Friend,Match Report,
2018-12-05,20:00 (13:00),Premier League,Matchweek 15,Wed,Home,D,2,2,Arsenal,1.1,1.1,45,"74,507",Chris Smalling,3-4-1-2,Andre Marriner,Match Report,
2018-12-08,15:00 (08:00),Premier League,Matchweek 16,Sat,Home,W,4,1,Fulham,2.3,1.2,62,"74,523",Ashley Young,4-2-3-1,Lee Probert,Match Report,
2018-12-12,21:00 (13:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Valencia,1.8,1.4,54,"36,544",Antonio Valencia,4-3-3,Georgi Kabakov,Match Report,
2018-12-16,16:00 (09:00),Premier League,Matchweek 17,Sun,Away,L,1,3,Liverpool,0.7,2.5,36,"52,908",Ashley Young,4-4-1-1,Martin Atkinson,Match Report,
2018-12-22,17:30 (10:30),Premier League,Matchweek 18,Sat,Away,W,5,1,Cardiff City,2.8,1.4,73,"33,028",Ashley Young,4-3-3,Michael Oliver,Match Report,
2018-12-26,15:00 (08:00),Premier League,Matchweek 19,Wed,Home,W,3,1,Huddersfield,1.5,1.1,64,"74,523",David de Gea,4-2-3-1,Jonathan Moss,Match Report,
2018-12-30,16:30 (09:30),Premier League,Matchweek 20,Sun,Home,W,4,1,Bournemouth,2.9,0.5,65,"74,556",Ashley Young,4-2-3-1,Lee Mason,Match Report,
2019-01-02,20:00 (13:00),Premier League,Matchweek 21,Wed,Away,W,2,0,Newcastle Utd,2.6,0.7,64,"52,217",Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2019-01-05,12:30 (05:30),FA Cup,Third round,Sat,Home,W,2,0,Reading,,,41,"73,918",Ashley Young,4-3-3,Stuart Attwell,Match Report,
