date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-04,19:45 (11:45),Championship,Matchweek 1,Fri,Home,W,1,0,Millwall,68,"28,065",Michael Mancienne,4-1-4-1,Peter Bankes,Match Report,,,
2017-08-08,19:45 (11:45),EFL Cup,First round,Tue,Home,W,2,1,Shrewsbury,55,"7,546",Chris Cohen,4-4-2,John Busby,Match Report,,,
2017-08-12,15:00 (07:00),Championship,Matchweek 2,Sat,Away,W,4,3,Brentford,43,"10,169",Michael Mancienne,3-4-1-2,James Linington,Match Report,,,
2017-08-15,19:45 (11:45),Championship,Matchweek 3,Tue,Away,L,1,2,Barnsley,62,"13,883",Michael Mancienne,3-4-3,Tony Harrington,Match Report,,,
2017-08-19,15:00 (07:00),Championship,Matchweek 4,Sat,Home,W,2,1,Middlesbrough,51,"26,265",Matt Mills,4-2-3-1,Graham Scott,Match Report,,,
2017-08-23,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,2,Newcastle Utd,51,"27,709",Michael Mancienne,4-3-3,Darren England,Match Report,Required Extra Time,,
2017-08-26,17:30 (09:30),Championship,Matchweek 5,Sat,Home,L,0,2,Leeds United,58,"25,682",Matt Mills,4-2-3-1,Jeremy Simpson,Match Report,,,
2017-09-09,17:30 (09:30),Championship,Matchweek 6,Sat,Away,L,1,3,Sheffield Weds,56,"25,710",Joe Worrall,3-1-4-2,Andy Madley,Match Report,,,
2017-09-12,19:45 (11:45),Championship,Matchweek 7,Tue,Away,W,1,0,Sunderland,56,"26,061",Matt Mills,4-2-3-1,Simon Hooper,Match Report,,,
2017-09-16,15:00 (07:00),Championship,Matchweek 8,Sat,Home,L,1,2,Wolves,56,"25,756",Matt Mills,4-2-3-1,Geoff Eltringham,Match Report,,,
2017-09-20,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,1,5,Chelsea,34,"40,621",Michael Mancienne,3-5-2,Chris Kavanagh,Match Report,,,
2017-09-23,17:30 (09:30),Championship,Matchweek 9,Sat,Away,L,1,2,Aston Villa,64,"28,554",Matt Mills,4-2-3-1,Tim Robinson,Match Report,,,
2017-09-26,19:45 (11:45),Championship,Matchweek 10,Tue,Home,L,1,3,Fulham,54,"21,208",Michael Mancienne,3-4-1-2,Scott Duncan,Match Report,,,
2017-09-30,15:00 (07:00),Championship,Matchweek 11,Sat,Home,W,2,1,Sheffield Utd,42,"25,700",Michael Mancienne,3-4-1-2,Andrew Davies,Match Report,,,
2017-10-15,13:15 (05:15),Championship,Matchweek 12,Sun,Away,L,0,2,Derby County,57,"31,196",Michael Mancienne,4-3-3,Andy Madley,Match Report,,,
2017-10-21,15:00 (07:00),Championship,Matchweek 13,Sat,Home,W,2,0,Burton Albion,70,"24,686",Michael Mancienne,4-2-3-1,Keith Stroud,Match Report,,,
2017-10-28,17:30 (09:30),Championship,Matchweek 14,Sat,Away,W,3,2,Hull City,56,"15,780",Michael Mancienne,4-2-3-1,Jeremy Simpson,Match Report,,,
2017-10-31,20:00 (13:00),Championship,Matchweek 15,Tue,Away,L,1,3,Reading,57,"14,868",Michael Mancienne,4-2-3-1,Paul Tierney,Match Report,,,
2017-11-04,15:00 (08:00),Championship,Matchweek 16,Sat,Home,W,4,0,QPR,53,"24,021",Michael Mancienne,4-2-3-1,Tim Robinson,Match Report,,,
2017-11-18,15:00 (08:00),Championship,Matchweek 17,Sat,Away,L,0,1,Birmingham City,63,"21,071",Michael Mancienne,4-2-3-1,Chris Kavanagh,Match Report,,,
2017-11-21,19:45 (12:45),Championship,Matchweek 18,Tue,Home,W,1,0,Norwich City,53,"23,831",Michael Mancienne,4-2-3-1,Tony Harrington,Match Report,,,
2017-11-26,13:00 (06:00),Championship,Matchweek 19,Sun,Home,L,0,2,Cardiff City,69,"25,210",Michael Mancienne,4-2-3-1,Peter Bankes,Match Report,,,
2017-12-02,15:00 (08:00),Championship,Matchweek 20,Sat,Away,L,2,4,Ipswich Town,70,"16,808",Michael Mancienne,4-2-3-1,Darren Bond,Match Report,,,
2017-12-09,15:00 (08:00),Championship,Matchweek 21,Sat,Home,W,3,2,Bolton,50,"22,882",Michael Mancienne,4-2-3-1,Darren England,Match Report,,,
2017-12-16,15:00 (08:00),Championship,Matchweek 22,Sat,Away,L,1,2,Bristol City,50,"20,128",Michael Mancienne,4-2-3-1,James Linington,Match Report,,,
2017-12-23,15:00 (08:00),Championship,Matchweek 23,Sat,Away,D,1,1,Preston,46,"13,481",Michael Mancienne,4-2-3-1,Scott Duncan,Match Report,,,
2017-12-26,15:00 (08:00),Championship,Matchweek 24,Tue,Home,L,0,3,Sheffield Weds,63,"28,635",Michael Mancienne,4-2-3-1,Andy Madley,Match Report,,,
2017-12-30,15:00 (08:00),Championship,Matchweek 25,Sat,Home,L,0,1,Sunderland,62,"26,830",Michael Mancienne,4-2-3-1,Darren Bond,Match Report,,,
2018-01-01,15:00 (08:00),Championship,Matchweek 26,Mon,Away,D,0,0,Leeds United,49,"32,426",Michael Mancienne,4-2-3-1,Jeremy Simpson,Match Report,,,
2018-01-07,16:00 (09:00),FA Cup,Third round,Sun,Home,W,4,2,Arsenal,31,"27,182",Michael Mancienne,4-2-3-1,Jonathan Moss,Match Report,,,
,,,,,,,,,,,,,,,,,,
2018-01-13,17:30 (10:30),Championship,Matchweek 27,Sat,Home,L,0,1,Aston Villa,61,"25,433",Michael Mancienne,4-2-3-1,James Linington,Match Report,,,
2018-01-20,15:00 (08:00),Championship,Matchweek 28,Sat,Away,W,2,0,Wolves,37,"29,050",Michael Mancienne,4-1-4-1,Robert Madley,Match Report,,,
