date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2017-08-05,15:00 (07:00),Championship,Matchweek 1,Sat,Home,W,1,0,Brentford,41,"26,746",Billy Sharp,3-5-2,Steve Martin,Match Report,,,
2017-08-09,19:45 (11:45),EFL Cup,First round,Wed,Home,W,3,2,Walsall,56,"5,210",Jake Wright,3-5-2,Kevin Friend,Match Report,,,
2017-08-12,17:30 (09:30),Championship,Matchweek 2,Sat,Away,L,0,1,Middlesbrough,51,"26,876",Billy Sharp,3-5-2,Peter Bankes,Match Report,,,
2017-08-15,19:45 (11:45),Championship,Matchweek 3,Tue,Away,L,0,2,Cardiff City,61,"17,844",Billy Sharp,3-5-2,Lee Mason,Match Report,,,
2017-08-19,12:15 (04:15),Championship,Matchweek 4,Sat,Home,W,1,0,Barnsley,50,"25,482",Billy Sharp,3-5-2,Tim Robinson,Match Report,,,
2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,L,1,4,Leicester City,46,"11,280",Jake Wright,3-5-2,Tony Harrington,Match Report,,,
2017-08-26,15:00 (07:00),Championship,Matchweek 5,Sat,Home,W,3,1,Derby County,53,"26,202",Billy Sharp,3-5-2,Andy Madley,Match Report,,,
2017-09-09,15:00 (07:00),Championship,Matchweek 6,Sat,Away,W,2,1,Sunderland,44,"29,579",Billy Sharp,3-5-2,Jeremy Simpson,Match Report,,,
2017-09-12,20:00 (12:00),Championship,Matchweek 7,Tue,Away,W,1,0,Bolton,50,"14,346",Billy Sharp,3-5-2,Stuart Attwell,Match Report,,,
2017-09-16,15:00 (07:00),Championship,Matchweek 8,Sat,Home,L,0,1,Norwich City,68,"26,218",Paul Coutts,3-5-1-1,Scott Duncan,Match Report,,,
2017-09-24,13:15 (05:15),Championship,Matchweek 9,Sun,Away,W,4,2,Sheffield Weds,37,"32,839",Paul Coutts,3-5-1-1,Simon Hooper,Match Report,,,
2017-09-27,19:45 (11:45),Championship,Matchweek 10,Wed,Home,W,2,0,Wolves,55,"25,893",Paul Coutts,3-5-1-1,Peter Bankes,Match Report,,,
2017-09-30,15:00 (07:00),Championship,Matchweek 11,Sat,Away,L,1,2,Nott'ham Forest,58,"25,700",Paul Coutts,3-5-1-1,Andrew Davies,Match Report,,,
2017-10-14,15:00 (07:00),Championship,Matchweek 12,Sat,Home,W,1,0,Ipswich Town,52,"25,799",Billy Sharp,3-5-2,Tony Harrington,Match Report,,,
2017-10-21,15:00 (07:00),Championship,Matchweek 13,Sat,Home,W,2,1,Reading,47,"26,265",Billy Sharp,3-5-2,David Coote,Match Report,,,
2017-10-27,19:45 (11:45),Championship,Matchweek 14,Fri,Away,W,2,1,Leeds United,49,"34,504",Billy Sharp,3-5-2,Scott Duncan,Match Report,,,
2017-10-31,19:45 (12:45),Championship,Matchweek 15,Tue,Away,L,0,1,QPR,61,"13,604",Paul Coutts,3-5-2,Keith Stroud,Match Report,,,
2017-11-04,15:00 (08:00),Championship,Matchweek 16,Sat,Home,W,4,1,Hull City,59,"27,466",Billy Sharp,3-5-2,Darren Bond,Match Report,,,
2017-11-17,19:45 (12:45),Championship,Matchweek 17,Fri,Away,W,3,1,Burton Albion,54,"5,167",Billy Sharp,3-5-2,Oliver Langford,Match Report,,,
2017-11-21,19:45 (12:45),Championship,Matchweek 18,Tue,Home,L,4,5,Fulham,55,"25,445",Billy Sharp,3-5-2,James Linington,Match Report,,,
