Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Granit Xhaka,ch SUI,MF,24,38,37,"3,260",36.2,1,7,8,1,0,0,10,0,2.4,2.4,3.4,5.8,67,424,64,0.03,0.19,0.22,0.03,0.22,0.07,0.09,0.16,0.07,0.16,Matches
Héctor Bellerín,es ESP,DF,22,35,34,"3,051",33.9,2,3,5,2,0,0,5,0,2.2,2.2,3.9,6.2,84,134,333,0.06,0.09,0.15,0.06,0.15,0.07,0.12,0.18,0.07,0.18,Matches
Petr Čech,cz CZE,GK,35,34,34,"3,039",33.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nacho Monreal,es ESP,DF,31,28,26,"2,243",24.9,5,2,7,5,0,0,3,0,1.7,1.7,2.6,4.3,41,138,73,0.20,0.08,0.28,0.20,0.28,0.07,0.11,0.17,0.07,0.17,Matches
Alexandre Lacazette,fr FRA,FW,26,32,26,"2,202",24.5,14,4,18,12,2,2,1,0,13.7,12.1,4.4,16.5,39,59,233,0.57,0.16,0.74,0.49,0.65,0.56,0.18,0.74,0.49,0.67,Matches
Shkodran Mustafi,de GER,DF,25,27,25,"2,273",25.3,3,1,4,3,0,0,6,0,0.8,0.8,1.3,2.1,12,92,9,0.12,0.04,0.16,0.12,0.16,0.03,0.05,0.08,0.03,0.08,Matches
Laurent Koscielny,fr FRA,DF,31,25,25,"2,225",24.7,2,0,2,2,0,0,4,0,1.9,1.9,0.4,2.3,25,124,10,0.08,0.00,0.08,0.08,0.08,0.08,0.02,0.09,0.08,0.09,Matches
Sead Kolašinac,ba BIH,DF,24,27,25,"2,147",23.9,2,4,6,2,0,0,3,0,2.2,2.2,3.5,5.8,68,105,186,0.08,0.17,0.25,0.08,0.25,0.09,0.15,0.24,0.09,0.24,Matches
Mesut Özil,de GER,"MF,FW",28,26,24,"2,163",24.0,4,8,12,4,0,0,4,0,4.4,4.4,8.7,13.1,136,277,267,0.17,0.33,0.50,0.17,0.50,0.18,0.36,0.55,0.18,0.55,Matches
Alex Iwobi,ng NGA,"MF,FW",21,26,22,"1,830",20.3,3,5,8,3,0,0,1,0,3.9,3.9,3.5,7.3,93,138,146,0.15,0.25,0.39,0.15,0.39,0.19,0.17,0.36,0.19,0.36,Matches
