Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Jack Grealish,eng ENG,"FW,MF",23,36,36,"3,233",35.9,8,6,14,8,0,1,8,0,6.8,6.0,7.4,13.4,212,197,209,0.22,0.17,0.39,0.22,0.39,0.19,0.21,0.40,0.17,0.37,Matches
Tyrone Mings,eng ENG,DF,26,33,33,"2,902",32.2,2,2,4,2,0,0,7,0,0.8,0.8,0.7,1.5,12,60,11,0.06,0.06,0.12,0.06,0.12,0.02,0.02,0.05,0.02,0.05,Matches
Douglas Luiz,br BRA,MF,21,36,28,"2,612",29.0,3,2,5,3,0,0,8,0,2.6,2.6,1.7,4.2,35,143,46,0.10,0.07,0.17,0.10,0.17,0.09,0.06,0.15,0.09,0.15,Matches
John McGinn,sct SCO,MF,24,28,27,"2,312",25.7,3,3,6,3,0,0,3,0,3.9,3.9,2.5,6.4,38,113,84,0.12,0.12,0.23,0.12,0.23,0.15,0.10,0.25,0.15,0.25,Matches
Matt Targett,eng ENG,"DF,MF",23,28,27,"2,291",25.5,1,2,3,1,0,0,4,0,0.4,0.4,2.6,3.0,22,115,81,0.04,0.08,0.12,0.04,0.12,0.02,0.10,0.12,0.02,0.12,Matches
Anwar El Ghazi,nl NED,"FW,MF",24,34,26,"2,051",22.8,4,4,8,3,1,1,3,0,6.2,5.4,2.7,8.2,65,47,155,0.18,0.18,0.35,0.13,0.31,0.27,0.12,0.39,0.24,0.36,Matches
Ezri Konsa,eng ENG,DF,21,25,24,"2,039",22.7,1,2,3,1,0,0,3,0,1.5,1.5,1.0,2.4,8,53,13,0.04,0.09,0.13,0.04,0.13,0.06,0.04,0.11,0.06,0.11,Matches
Frederic Guilbert,fr FRA,"DF,MF",24,25,22,"2,041",22.7,0,2,2,0,0,0,7,0,0.3,0.3,1.5,1.9,56,81,96,0.00,0.09,0.09,0.00,0.09,0.02,0.07,0.08,0.02,0.08,Matches
Wesley Moraes,br BRA,FW,22,21,21,"1,782",19.8,5,1,6,5,0,1,3,0,6.4,5.5,1.0,6.5,13,21,89,0.25,0.05,0.30,0.25,0.30,0.32,0.05,0.37,0.28,0.33,Matches
Trézéguet,eg EGY,"FW,MF",24,34,20,"1,950",21.7,6,1,7,6,0,0,4,1,4.7,4.7,1.0,5.8,59,37,170,0.28,0.05,0.32,0.28,0.32,0.22,0.05,0.27,0.22,0.27,Matches
Tom Heaton,eng ENG,GK,33,20,20,"1,794",19.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marvelous Nakamba,zw ZIM,MF,25,29,19,"1,836",20.4,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,10,57,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
Conor Hourihane,ie IRL,MF,28,27,18,"1,534",17.0,3,5,8,3,0,0,4,0,1.7,1.7,6.0,7.7,9,75,57,0.18,0.29,0.47,0.18,0.47,0.10,0.35,0.45,0.10,0.45,Matches
Kortney Hause,eng ENG,DF,24,18,17,"1,545",17.2,1,0,1,1,0,0,3,0,2.5,2.5,0.5,2.9,8,46,4,0.06,0.00,0.06,0.06,0.06,0.14,0.03,0.17,0.14,0.17,Matches
Björn Engels,be BEL,DF,24,17,15,"1,447",16.1,1,0,1,1,0,0,1,0,1.0,0.9,0.3,1.2,5,43,2,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.07,Matches
Pepe Reina,es ESP,GK,36,12,12,"1,080",12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Neil Taylor,wls WAL,DF,30,14,11,"1,091",12.1,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,7,48,25,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
Ahmed Elmohamady,eg EGY,DF,31,18,11,"1,031",11.5,1,1,2,1,0,0,1,0,0.2,0.2,2.8,3.0,39,47,37,0.09,0.09,0.17,0.09,0.17,0.02,0.24,0.26,0.02,0.26,Matches
Mbwana Samatta,tz TAN,FW,26,14,11,943,10.5,1,0,1,1,0,0,1,0,2.3,2.3,0.6,2.9,6,11,49,0.10,0.00,0.10,0.10,0.10,0.22,0.06,0.28,0.22,0.28,Matches
Ørjan Nyland,no NOR,GK,28,7,5,539,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Keinan Davis,eng ENG,FW,21,18,4,548,6.1,0,0,0,0,0,0,0,0,2.7,2.7,0.2,2.9,19,9,50,0.00,0.00,0.00,0.00,0.00,0.44,0.03,0.47,0.44,0.47,Matches
Jota,es ESP,"FW,MF",28,10,4,335,3.7,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,10,14,23,0.00,0.27,0.27,0.00,0.27,0.08,0.15,0.23,0.08,0.23,Matches
Danny Drinkwater,eng ENG,MF,29,4,4,259,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,2,20,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Henri Lansbury,eng ENG,MF,28,10,2,195,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,7,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Jed Steer,eng ENG,GK,26,1,1,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan Kodjia,ci CIV,FW,29,6,0,117,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,1,10,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches
Indiana Vassilev,us USA,"FW,MF",18,4,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Borja Bastón,es ESP,"MF,FW",26,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Chester,wls WAL,DF,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kaine Hayden,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lovre Kalinić,hr CRO,GK,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Emiliano Martínez,ar ARG,GK,27,38,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matt Targett,eng ENG,DF,24,38,38,"3,404",37.8,0,2,2,0,0,0,7,0,0.3,0.3,2.5,2.8,26,231,156,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.07,0.01,0.07,Matches
John McGinn,sct SCO,MF,25,37,37,"3,330",37.0,3,5,8,3,0,0,12,0,2.5,2.5,3.6,6.1,33,221,79,0.08,0.14,0.22,0.08,0.22,0.07,0.10,0.17,0.07,0.17,Matches
Ollie Watkins,eng ENG,FW,24,37,37,"3,328",37.0,14,5,19,13,1,2,4,1,14.5,13.0,5.3,18.3,84,55,290,0.38,0.14,0.51,0.35,0.49,0.39,0.14,0.53,0.35,0.49,Matches
Tyrone Mings,eng ENG,DF,27,36,36,"3,194",35.5,2,2,4,2,0,0,6,1,1.9,1.9,0.4,2.4,12,104,5,0.06,0.06,0.11,0.06,0.11,0.05,0.01,0.07,0.05,0.07,Matches
Ezri Konsa,eng ENG,DF,22,36,35,"3,196",35.5,2,0,2,2,0,0,3,0,2.4,2.4,0.1,2.5,3,32,5,0.06,0.00,0.06,0.06,0.06,0.07,0.00,0.07,0.07,0.07,Matches
Douglas Luiz,br BRA,MF,22,33,32,"2,781",30.9,0,2,2,0,0,0,10,1,1.2,1.2,1.6,2.8,47,131,32,0.00,0.06,0.06,0.00,0.06,0.04,0.05,0.09,0.04,0.09,Matches
Bertrand Traoré,bf BFA,FW,24,36,29,"2,317",25.7,7,6,13,7,0,0,1,0,6.6,6.6,4.3,10.9,51,77,125,0.27,0.23,0.50,0.27,0.50,0.26,0.17,0.42,0.26,0.42,Matches
Matty Cash,pl POL,DF,22,28,28,"2,372",26.4,0,2,2,0,0,0,8,1,0.3,0.3,1.7,2.0,43,76,62,0.00,0.08,0.08,0.00,0.08,0.01,0.07,0.08,0.01,0.08,Matches
Jack Grealish,eng ENG,"FW,MF",24,26,24,"2,185",24.3,6,10,16,6,0,0,6,0,4.6,4.6,7.4,12.0,172,189,212,0.25,0.41,0.66,0.25,0.66,0.19,0.30,0.50,0.19,0.50,Matches
Ross Barkley,eng ENG,MF,26,24,18,"1,531",17.0,3,1,4,3,0,0,0,0,3.1,3.1,4.2,7.3,40,88,73,0.18,0.06,0.24,0.18,0.24,0.18,0.24,0.43,0.18,0.43,Matches
Anwar El Ghazi,nl NED,FW,25,28,17,"1,613",17.9,10,0,10,6,4,4,2,0,8.4,5.3,1.8,7.1,50,47,163,0.56,0.00,0.56,0.33,0.33,0.47,0.10,0.57,0.30,0.39,Matches
Trézéguet,eg EGY,FW,25,21,12,"1,166",13.0,2,1,3,2,0,0,0,0,3.8,3.8,2.1,5.9,31,35,79,0.15,0.08,0.23,0.15,0.23,0.29,0.16,0.46,0.29,0.46,Matches
