Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Asmir Begović,ba BIH,GK,30,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Aké,nl NED,DF,22,38,37,"3,353",37.3,2,3,5,2,0,0,5,0,1.4,1.4,1.9,3.4,14,96,10,0.05,0.08,0.13,0.05,0.13,0.04,0.05,0.09,0.04,0.09,Matches
Charlie Daniels,eng ENG,"DF,MF",30,35,34,"3,002",33.4,1,3,4,1,0,0,0,0,0.6,0.6,2.2,2.8,104,155,165,0.03,0.09,0.12,0.03,0.12,0.02,0.06,0.08,0.02,0.08,Matches
Steve Cook,eng ENG,DF,26,34,31,"2,767",30.7,2,1,3,2,0,0,5,0,1.6,1.6,1.0,2.6,15,83,9,0.07,0.03,0.10,0.07,0.10,0.05,0.03,0.08,0.05,0.08,Matches
Simon Francis,eng ENG,DF,32,32,31,"2,705",30.1,0,1,1,0,0,0,9,2,0.6,0.6,1.5,2.1,33,119,90,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,Matches
Joshua King,no NOR,"FW,MF",25,33,27,"2,453",27.3,8,3,11,6,2,2,3,0,6.5,4.9,4.9,9.8,84,83,215,0.29,0.11,0.40,0.22,0.33,0.24,0.18,0.42,0.18,0.36,Matches
Lewis Cook,eng ENG,MF,20,29,25,"2,237",24.9,0,2,2,0,0,0,5,0,0.5,0.5,1.6,2.0,52,173,30,0.00,0.08,0.08,0.00,0.08,0.02,0.06,0.08,0.02,0.08,Matches
Ryan Fraser,sct SCO,"MF,DF",23,26,23,"2,004",22.3,5,3,8,5,0,0,0,0,1.8,1.8,3.3,5.1,74,99,168,0.22,0.13,0.36,0.22,0.36,0.08,0.15,0.23,0.08,0.23,Matches
Callum Wilson,eng ENG,FW,25,28,23,"1,981",22.0,8,2,10,8,0,0,0,0,7.6,7.6,1.5,9.1,34,39,170,0.36,0.09,0.45,0.36,0.45,0.34,0.07,0.41,0.34,0.41,Matches
Adam Smith,eng ENG,"DF,MF",26,27,22,"2,071",23.0,1,3,4,1,0,0,6,0,0.5,0.5,1.6,2.1,56,90,99,0.04,0.13,0.17,0.04,0.17,0.02,0.07,0.09,0.02,0.09,Matches
Jordon Ibe,eng ENG,"MF,FW",21,32,22,"1,995",22.2,2,6,8,2,0,0,1,0,3.0,3.0,3.3,6.3,78,95,149,0.09,0.27,0.36,0.09,0.36,0.13,0.15,0.28,0.13,0.28,Matches
Dan Gosling,eng ENG,MF,27,28,21,"1,947",21.6,2,1,3,2,0,0,8,0,2.1,2.1,0.9,3.0,18,134,25,0.09,0.05,0.14,0.09,0.14,0.10,0.04,0.14,0.10,0.14,Matches
Andrew Surman,eng ENG,MF,30,25,20,"1,856",20.6,2,5,7,2,0,0,2,0,1.2,1.2,1.0,2.2,10,134,14,0.10,0.24,0.34,0.10,0.34,0.06,0.05,0.11,0.06,0.11,Matches
Junior Stanislas,eng ENG,"MF,FW",27,19,17,"1,286",14.3,5,2,7,4,1,1,1,0,3.9,3.1,1.9,5.0,36,63,100,0.35,0.14,0.49,0.28,0.42,0.27,0.13,0.40,0.22,0.35,Matches
Jermain Defoe,eng ENG,FW,34,24,11,"1,088",12.1,4,1,5,4,0,0,1,0,3.5,3.5,1.1,4.6,9,10,59,0.33,0.08,0.41,0.33,0.41,0.29,0.09,0.38,0.29,0.38,Matches
Marc Pugh,eng ENG,"MF,FW",30,20,11,985,10.9,0,0,0,0,0,0,2,0,1.3,1.3,0.5,1.9,40,52,103,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches
Harry Arter,ie IRL,MF,27,13,11,960,10.7,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,14,68,8,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,Matches
Benik Afobe,cd COD,FW,24,17,5,611,6.8,0,0,0,0,0,0,0,0,1.6,1.6,0.1,1.8,12,9,37,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.30,0.27,0.30,Matches
Lys Mousset,fr FRA,"FW,MF",21,23,4,596,6.6,2,0,2,2,0,0,1,0,1.2,1.2,0.8,2.1,18,16,53,0.30,0.00,0.30,0.30,0.30,0.18,0.13,0.31,0.18,0.31,Matches
Tyrone Mings,eng ENG,DF,24,4,3,201,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,8,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Jack Simpson,eng ENG,DF,20,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Emerson Hyndman,us USA,MF,21,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Artur Boruc,pl POL,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matt Butcher,eng ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Connor Mahoney,eng ENG,"FW,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Aaron Ramsdale,eng ENG,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
