Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Pontus Jansson,se SWE,DF,30,37,37,"3,321",36.9,3,1,4,3,0,0,7,0,3.0,3.0,0.3,3.3,4,67,5,0.08,0.03,0.11,0.08,0.11,0.08,0.01,0.09,0.08,0.09,Matches
Christian Nørgaard,dk DEN,MF,27,35,35,"3,054",33.9,3,4,7,3,0,0,8,0,3.8,3.8,3.3,7.1,17,169,31,0.09,0.12,0.21,0.09,0.21,0.11,0.10,0.21,0.11,0.21,Matches
Bryan Mbeumo,cm CMR,FW,21,35,34,"2,905",32.3,4,7,11,3,1,1,4,0,9.3,8.5,3.7,12.2,81,56,273,0.12,0.22,0.34,0.09,0.31,0.29,0.11,0.40,0.26,0.38,Matches
Rico Henry,eng ENG,DF,24,34,33,"2,776",30.8,3,0,3,3,0,0,2,0,1.5,1.5,1.7,3.3,61,81,131,0.10,0.00,0.10,0.10,0.10,0.05,0.06,0.11,0.05,0.11,Matches
Ivan Toney,eng ENG,FW,25,33,32,"2,909",32.3,12,5,17,7,5,5,8,0,11.4,7.4,5.8,13.3,28,83,168,0.37,0.15,0.53,0.22,0.37,0.35,0.18,0.53,0.23,0.41,Matches
Ethan Pinnock,jm JAM,DF,28,32,32,"2,694",29.9,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,11,77,18,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.08,0.04,0.08,Matches
Vitaly Janelt,de GER,MF,23,31,27,"2,298",25.5,4,0,4,4,0,0,3,0,2.4,2.4,1.9,4.2,25,103,60,0.16,0.00,0.16,0.16,0.16,0.09,0.07,0.17,0.09,0.17,Matches
Sergi Canós,es ESP,"DF,FW",24,31,25,"2,083",23.1,3,2,5,3,0,0,8,1,3.0,3.0,1.7,4.6,52,59,100,0.13,0.09,0.22,0.13,0.22,0.13,0.07,0.20,0.13,0.20,Matches
David Raya,es ESP,GK,25,24,24,"2,160",24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kristoffer Ajer,no NOR,DF,23,24,23,"1,995",22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,Matches
Mathias Jensen,dk DEN,MF,25,31,19,"1,601",17.8,0,1,1,0,0,0,0,0,2.9,2.9,3.2,6.2,14,103,54,0.00,0.06,0.06,0.00,0.06,0.17,0.18,0.35,0.17,0.35,Matches
Yoane Wissa,cd COD,FW,24,30,12,"1,284",14.3,7,1,8,7,0,0,0,0,3.1,3.1,0.9,4.0,19,29,84,0.49,0.07,0.56,0.49,0.56,0.22,0.06,0.28,0.22,0.28,Matches
Mads Roerslev,dk DEN,DF,22,21,12,"1,240",13.8,1,1,2,1,0,0,1,0,0.4,0.4,0.6,0.9,14,22,54,0.07,0.07,0.15,0.07,0.15,0.03,0.04,0.07,0.03,0.07,Matches
Álvaro Fernández,es ESP,GK,23,12,12,"1,080",12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Frank Onyeka,ng NGA,MF,23,20,12,"1,045",11.6,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1.0,18,35,27,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Christian Eriksen,dk DEN,MF,29,11,10,939,10.4,1,4,5,1,0,0,1,0,1.3,1.3,3.5,4.8,21,82,22,0.10,0.38,0.48,0.10,0.48,0.12,0.34,0.46,0.12,0.46,Matches
Shandon Baptiste,gd GRN,MF,23,22,9,910,10.1,1,0,1,1,0,0,2,1,0.7,0.7,0.5,1.3,14,35,29,0.10,0.00,0.10,0.10,0.10,0.07,0.05,0.12,0.07,0.12,Matches
Mads Bech Sørensen,dk DEN,DF,22,11,9,835,9.3,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.4,9,20,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Mathias Jørgensen,dk DEN,DF,31,8,6,518,5.8,1,0,1,1,0,0,2,0,0.1,0.1,0.3,0.4,5,18,1,0.17,0.00,0.17,0.17,0.17,0.02,0.05,0.07,0.02,0.07,Matches
Saman Ghoddos,ir IRN,"MF,DF",27,17,4,536,6.0,1,1,2,1,0,0,2,0,0.5,0.5,1.2,1.7,7,25,40,0.17,0.17,0.34,0.17,0.34,0.08,0.20,0.28,0.08,0.28,Matches
Charlie Goode,eng ENG,DF,25,6,4,450,5.0,0,0,0,0,0,0,3,0,0.1,0.1,1.0,1.0,5,18,9,0.00,0.00,0.00,0.00,0.00,0.01,0.19,0.20,0.01,0.20,Matches
Josh Dasilva,eng ENG,"MF,FW",22,9,2,257,2.9,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0.2,10,11,10,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Jonas Lössl,dk DEN,GK,32,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dominic Thompson,eng ENG,DF,21,2,2,146,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Marcus Forss,fi FIN,"FW,MF",22,7,1,209,2.3,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.6,2,6,12,0.00,0.43,0.43,0.00,0.43,0.14,0.10,0.24,0.14,0.24,Matches
Mads Bidstrup,dk DEN,MF,20,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tariqe Fosu,gh GHA,DF,25,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,4,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
Finley Stevens,wls WAL,DF,18,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches
Nathan Young-Coombes,eng ENG,MF,18,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matthew Cox,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Halil Dervişoğlu,tr TUR,FW,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Patrik Gunnarsson,is ISL,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maxwell Haygarth,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Julian Jeanvier,gn GUI,DF,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
