Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Neil Etheridge,ph PHI,GK,28,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bruno Ecuele Manga,ga GAB,DF,30,38,37,"3,376",37.5,0,1,1,0,0,0,0,0,1.1,1.1,0.4,1.5,18,102,19,0.00,0.03,0.03,0.00,0.03,0.03,0.01,0.04,0.03,0.04,Matches
Sean Morrison,eng ENG,DF,27,34,34,"3,039",33.8,1,3,4,1,0,0,6,0,5.0,5.0,3.7,8.7,7,49,16,0.03,0.09,0.12,0.03,0.12,0.15,0.11,0.26,0.15,0.26,Matches
Víctor Camarasa,es ESP,MF,24,32,31,"2,569",28.5,5,4,9,4,1,1,6,0,4.0,3.2,3.8,6.9,50,77,92,0.18,0.14,0.32,0.14,0.28,0.14,0.13,0.27,0.11,0.24,Matches
Joe Bennett,eng ENG,DF,28,30,30,"2,639",29.3,0,1,1,0,0,0,5,0,0.5,0.5,0.9,1.4,28,86,41,0.00,0.03,0.03,0.00,0.03,0.02,0.03,0.05,0.02,0.05,Matches
Sol Bamba,ci CIV,DF,33,28,28,"2,474",27.5,4,1,5,4,0,0,7,0,4.0,4.0,0.2,4.1,6,48,2,0.15,0.04,0.18,0.15,0.18,0.14,0.01,0.15,0.14,0.15,Matches
Aron Gunnarsson,is ISL,MF,29,28,27,"2,266",25.2,1,1,2,1,0,0,5,0,2.0,2.0,1.6,3.6,10,85,12,0.04,0.04,0.08,0.04,0.08,0.08,0.06,0.14,0.08,0.14,Matches
Harry Arter,ie IRL,MF,28,25,24,"1,997",22.2,0,1,1,0,0,0,10,0,0.9,0.9,0.5,1.4,13,73,23,0.00,0.05,0.05,0.00,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Junior Hoilett,ca CAN,"MF,FW",28,32,23,"2,141",23.8,3,1,4,3,0,0,4,0,3.4,3.4,1.5,4.9,54,39,125,0.13,0.04,0.17,0.13,0.17,0.14,0.06,0.21,0.14,0.21,Matches
Joe Ralls,eng ENG,MF,24,28,22,"1,959",21.8,0,0,0,0,0,1,4,1,1.6,0.8,3.2,4.1,20,111,18,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.22,0.04,0.19,Matches
Josh Murphy,eng ENG,"MF,FW",23,29,22,"1,817",20.2,3,2,5,3,0,0,2,0,4.1,4.1,3.9,8.0,81,23,126,0.15,0.10,0.25,0.15,0.25,0.20,0.19,0.40,0.20,0.40,Matches
Callum Paterson,sct SCO,"FW,MF",23,27,21,"1,998",22.2,4,1,5,4,0,0,4,0,5.5,5.5,2.8,8.2,13,68,63,0.18,0.05,0.23,0.18,0.23,0.25,0.12,0.37,0.25,0.37,Matches
Lee Peltier,eng ENG,DF,31,20,17,"1,544",17.2,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,1,33,11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Bobby Reid,jm JAM,"FW,MF",25,27,16,"1,424",15.8,5,2,7,4,1,1,0,0,3.8,3.0,1.2,4.2,15,23,76,0.32,0.13,0.44,0.25,0.38,0.24,0.07,0.31,0.19,0.26,Matches
Oumar Niasse,sn SEN,FW,28,13,12,931,10.3,0,0,0,0,0,0,0,0,3.4,3.4,0.6,4.0,23,16,64,0.00,0.00,0.00,0.00,0.00,0.33,0.05,0.39,0.33,0.39,Matches
Nathaniel Mendez-Laing,gt GUA,"MF,FW",26,20,11,985,10.9,4,1,5,3,1,1,0,0,2.3,1.5,1.5,2.9,46,19,69,0.37,0.09,0.46,0.27,0.37,0.21,0.13,0.34,0.13,0.27,Matches
Kenneth Zohore,dk DEN,FW,24,19,7,753,8.4,1,1,2,1,0,0,1,0,1.7,1.7,1.1,2.8,10,5,57,0.12,0.12,0.24,0.12,0.24,0.20,0.13,0.33,0.20,0.33,Matches
Greg Cunningham,ie IRL,DF,27,7,7,630,7.0,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,4,24,9,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Leandro Bacuna,cw CUW,MF,26,11,4,561,6.2,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,11,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Danny Ward,eng ENG,FW,26,14,4,445,4.9,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,7,9,27,0.20,0.00,0.20,0.20,0.20,0.12,0.07,0.19,0.12,0.19,Matches
Kadeem Harris,eng ENG,MF,25,13,3,375,4.2,1,0,1,1,0,0,1,0,0.5,0.5,0.4,1.0,15,5,34,0.24,0.00,0.24,0.24,0.24,0.13,0.11,0.23,0.13,0.23,Matches
Jazz Richards,wls WAL,"DF,MF",27,4,0,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rhys Healey,wls WAL,FW,23,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,0,7,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.25,0.07,0.25,Matches
Gary Madine,eng ENG,"FW,MF",27,5,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Loïc Damour,fr FRA,MF,27,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Matthew Connolly,eng ENG,DF,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Brian Murphy,ie IRL,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alex Smithies,eng ENG,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
