Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Andros Townsend,eng ENG,"FW,MF",26,36,35,"3,120",34.7,2,7,9,2,0,0,3,0,3.0,3.0,7.2,10.2,161,104,249,0.06,0.20,0.26,0.06,0.26,0.09,0.21,0.30,0.09,0.30,Matches
Luka Milivojević,rs SRB,MF,26,36,35,"3,080",34.2,10,1,11,3,7,8,8,0,8.2,1.8,1.0,2.9,24,180,18,0.29,0.03,0.32,0.09,0.12,0.24,0.03,0.27,0.05,0.08,Matches
Wilfried Zaha,ci CIV,"FW,MF",24,29,28,"2,549",28.3,9,3,12,9,0,0,5,0,9.2,9.2,4.7,13.9,173,96,283,0.32,0.11,0.42,0.32,0.42,0.33,0.17,0.49,0.33,0.49,Matches
Yohan Cabaye,fr FRA,MF,31,31,28,"2,376",26.4,0,1,1,0,0,0,7,0,2.3,2.3,4.1,6.4,13,138,37,0.00,0.04,0.04,0.00,0.04,0.09,0.15,0.24,0.09,0.24,Matches
James McArthur,sct SCO,MF,29,33,27,"2,431",27.0,5,1,6,5,0,0,5,0,3.7,3.7,2.2,5.9,32,107,94,0.19,0.04,0.22,0.19,0.22,0.14,0.08,0.22,0.14,0.22,Matches
Wayne Hennessey,wls WAL,GK,30,27,27,"2,430",27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
James Tomkins,eng ENG,DF,28,28,27,"2,387",26.5,3,0,3,3,0,0,8,0,2.2,2.2,0.1,2.3,6,45,3,0.11,0.00,0.11,0.11,0.11,0.08,0.00,0.09,0.08,0.09,Matches
Patrick van Aanholt,nl NED,DF,26,28,25,"2,184",24.3,5,1,6,5,0,0,7,0,3.1,3.1,2.1,5.2,46,92,86,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21,Matches
Christian Benteke,be BEL,FW,26,31,24,"2,240",24.9,3,5,8,2,1,2,6,0,10.2,8.6,2.9,11.5,18,42,133,0.12,0.20,0.32,0.08,0.28,0.41,0.12,0.53,0.34,0.46,Matches
Ruben Loftus-Cheek,eng ENG,MF,21,24,21,"1,874",20.8,2,3,5,2,0,0,1,0,3.5,3.5,3.2,6.7,94,106,126,0.10,0.14,0.24,0.10,0.24,0.17,0.15,0.32,0.17,0.32,Matches
Jeffrey Schlupp,gh GHA,"DF,MF",24,24,21,"1,745",19.4,0,1,1,0,0,0,3,0,1.2,1.2,1.0,2.2,32,74,51,0.00,0.05,0.05,0.00,0.05,0.06,0.05,0.12,0.06,0.12,Matches
Joel Ward,eng ENG,DF,27,19,19,"1,613",17.9,0,1,1,0,0,0,4,0,0.2,0.2,0.9,1.1,15,79,50,0.00,0.06,0.06,0.00,0.06,0.01,0.05,0.06,0.01,0.06,Matches
Mamadou Sakho,fr FRA,DF,27,19,18,"1,600",17.8,1,2,3,1,0,0,1,0,1.2,1.2,1.1,2.3,4,43,3,0.06,0.11,0.17,0.06,0.17,0.07,0.06,0.13,0.07,0.13,Matches
Timothy Fosu-Mensah,nl NED,DF,19,21,17,"1,596",17.7,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,25,56,31,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Scott Dann,eng ENG,DF,30,17,16,"1,435",15.9,1,0,1,1,0,0,4,0,2.3,2.3,0.2,2.5,7,42,3,0.06,0.00,0.06,0.06,0.06,0.14,0.01,0.16,0.14,0.16,Matches
Martin Kelly,eng ENG,DF,27,15,12,"1,195",13.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.6,5,16,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Julián Speroni,ar ARG,GK,38,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,eng ENG,DF,19,7,7,627,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,22,23,14,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Jason Puncheon,eng ENG,MF,31,10,6,645,7.2,0,0,0,0,0,0,5,0,1.2,1.2,0.5,1.7,8,31,19,0.00,0.00,0.00,0.00,0.00,0.19,0.07,0.26,0.19,0.26,Matches
Bakary Sako,ml MLI,"FW,MF",29,16,4,478,5.3,3,0,3,3,0,0,0,0,1.9,1.9,1.1,3.0,20,8,43,0.56,0.00,0.56,0.56,0.56,0.36,0.20,0.56,0.36,0.56,Matches
Jaïro Riedewald,nl NED,"MF,DF",20,12,4,442,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,16,7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
