Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Jordan Pickford,eng ENG,GK,23,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Idrissa Gana Gueye,sn SEN,MF,27,33,32,"2,751",30.6,2,1,3,2,0,0,7,2,1.5,1.5,0.8,2.4,26,128,27,0.07,0.03,0.10,0.07,0.10,0.05,0.03,0.08,0.05,0.08,Matches
Michael Keane,eng ENG,DF,24,30,29,"2,560",28.4,0,1,1,0,0,0,3,0,1.1,1.1,0.5,1.6,11,83,3,0.00,0.04,0.04,0.00,0.04,0.04,0.02,0.06,0.04,0.06,Matches
Wayne Rooney,eng ENG,"MF,FW",31,31,27,"2,268",25.2,10,2,12,7,3,6,5,0,8.6,3.8,2.2,6.0,26,122,91,0.40,0.08,0.48,0.28,0.36,0.34,0.09,0.43,0.15,0.24,Matches
Gylfi Sigurðsson,is ISL,"MF,FW",27,27,25,"2,259",25.1,4,3,7,4,0,0,2,0,3.0,3.0,3.9,6.9,29,77,110,0.16,0.12,0.28,0.16,0.28,0.12,0.16,0.28,0.12,0.28,Matches
Morgan Schneiderlin,fr FRA,MF,27,30,24,"2,130",23.7,0,0,0,0,0,0,5,2,0.4,0.4,0.2,0.6,15,106,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Phil Jagielka,eng ENG,DF,34,25,23,"2,065",22.9,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,4,53,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Leighton Baines,eng ENG,DF,32,22,22,"1,909",21.2,2,3,5,0,2,2,1,0,2.1,0.5,1.9,2.5,31,84,61,0.09,0.14,0.24,0.00,0.14,0.10,0.09,0.19,0.02,0.12,Matches
Tom Davies,eng ENG,MF,19,33,20,"1,900",21.1,2,1,3,2,0,0,7,0,1.5,1.5,0.6,2.1,36,62,70,0.09,0.05,0.14,0.09,0.14,0.07,0.03,0.10,0.07,0.10,Matches
Ashley Williams,wls WAL,DF,32,24,20,"1,834",20.4,1,0,1,1,0,0,3,1,0.8,0.8,0.3,1.2,2,39,1,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Cuco Martina,cw CUW,DF,27,21,20,"1,830",20.3,0,2,2,0,0,0,2,0,0.1,0.1,1.4,1.5,28,68,74,0.00,0.10,0.10,0.00,0.10,0.00,0.07,0.07,0.00,0.07,Matches
Dominic Calvert-Lewin,eng ENG,FW,20,32,18,"1,882",20.9,4,6,10,4,0,0,4,0,4.9,4.8,2.6,7.4,42,27,125,0.19,0.29,0.48,0.19,0.48,0.23,0.12,0.36,0.23,0.36,Matches
Jonjoe Kenny,eng ENG,DF,20,19,17,"1,590",17.7,0,1,1,0,0,0,2,0,0.1,0.1,1.5,1.6,16,48,51,0.00,0.06,0.06,0.00,0.06,0.01,0.08,0.09,0.01,0.09,Matches
Mason Holgate,eng ENG,DF,20,15,13,"1,184",13.2,0,0,0,0,0,0,3,0,0.6,0.6,0.6,1.2,8,44,25,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
Theo Walcott,eng ENG,FW,28,14,13,"1,152",12.8,3,3,6,3,0,0,2,0,2.5,2.5,2.4,4.8,35,33,99,0.23,0.23,0.47,0.23,0.47,0.19,0.18,0.38,0.19,0.38,Matches
Séamus Coleman,ie IRL,DF,28,12,12,"1,035",11.5,0,1,1,0,0,0,0,0,1.0,1.0,0.7,1.7,34,44,44,0.00,0.09,0.09,0.00,0.09,0.09,0.06,0.15,0.09,0.15,Matches
Cenk Tosun,tr TUR,FW,26,14,12,986,11.0,5,0,5,5,0,0,0,0,2.8,2.8,1.4,4.2,9,9,69,0.46,0.00,0.46,0.46,0.46,0.25,0.13,0.38,0.25,0.38,Matches
Yannick Bolasie,cd COD,FW,28,16,11,851,9.5,1,0,1,1,0,0,0,0,1.5,1.5,0.7,2.3,39,20,52,0.11,0.00,0.11,0.11,0.11,0.16,0.08,0.24,0.16,0.24,Matches
Oumar Niasse,sn SEN,FW,27,22,10,"1,087",12.1,8,2,10,8,0,0,2,0,7.0,7.0,1.4,8.4,21,17,106,0.66,0.17,0.83,0.66,0.83,0.58,0.11,0.69,0.58,0.69,Matches
Aaron Lennon,eng ENG,"FW,MF",30,15,9,793,8.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,17,19,33,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
Nikola Vlašić,hr CRO,"MF,FW",19,12,7,576,6.4,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,22,16,49,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16,Matches
Sandro Ramírez,es ESP,"FW,MF",22,8,3,278,3.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,8,21,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16,Matches
Davy Klaassen,nl NED,"MF,FW",24,7,3,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,11,4,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
James McCarthy,ie IRL,MF,26,4,3,205,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,12,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Kevin Mirallas,be BEL,"FW,MF",29,5,2,138,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,10,3,11,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.16,0.12,0.16,Matches
Eliaquim Mangala,fr FRA,DF,26,2,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
