Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Mathias Jørgensen,dk DEN,DF,27,38,38,"3,420",38.0,0,2,2,0,0,0,6,0,1.9,1.9,0.9,2.9,21,120,8,0.00,0.05,0.05,0.00,0.05,0.05,0.02,0.08,0.05,0.08,Matches
Jonas Lössl,dk DEN,GK,28,38,38,"3,420",38.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.02,0.02,0.00,0.02,Matches
Christopher Schindler,de GER,DF,27,37,37,"3,265",36.3,0,1,1,0,0,0,7,2,1.1,1.1,2.3,3.4,11,80,6,0.00,0.03,0.03,0.00,0.03,0.03,0.06,0.09,0.03,0.09,Matches
Aaron Mooy,au AUS,MF,26,36,34,"3,067",34.1,4,3,7,3,1,1,4,0,3.0,2.2,4.0,6.2,55,239,77,0.12,0.09,0.21,0.09,0.18,0.09,0.12,0.20,0.06,0.18,Matches
Jonathan Hogg,eng ENG,MF,28,30,29,"2,398",26.6,0,0,0,0,0,0,9,2,0.4,0.4,0.4,0.9,21,138,10,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
Tom Ince,eng ENG,"MF,FW",25,33,27,"2,452",27.2,2,0,2,2,0,0,0,0,6.4,6.4,1.4,7.8,57,60,125,0.07,0.00,0.07,0.07,0.07,0.24,0.05,0.29,0.24,0.29,Matches
Rajiv van La Parra,nl NED,"FW,MF",26,33,26,"2,137",23.7,3,0,3,2,1,1,3,1,3.1,2.3,0.9,3.2,114,65,136,0.13,0.00,0.13,0.08,0.08,0.13,0.04,0.17,0.10,0.13,Matches
Tommy Smith,eng ENG,DF,25,24,21,"1,904",21.2,0,1,1,0,0,0,7,0,0.2,0.2,1.8,2.0,36,56,86,0.00,0.05,0.05,0.00,0.05,0.01,0.09,0.09,0.01,0.09,Matches
Steve Mounié,bj BEN,FW,22,28,21,"1,855",20.6,7,1,8,7,0,0,2,0,5.2,5.2,1.8,7.0,13,27,93,0.34,0.05,0.39,0.34,0.39,0.25,0.09,0.34,0.25,0.34,Matches
Florent Hadergjonaj,xk KVX,"DF,MF",23,23,19,"1,674",18.6,0,1,1,0,0,0,3,0,0.3,0.3,1.5,1.7,40,62,111,0.00,0.05,0.05,0.00,0.05,0.01,0.08,0.09,0.01,0.09,Matches
