Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Harry Maguire,eng ENG,DF,24,38,38,"3,420",38.0,2,4,6,2,0,0,7,0,2.8,2.8,4.1,6.9,58,178,18,0.05,0.11,0.16,0.05,0.16,0.07,0.11,0.18,0.07,0.18,Matches
Jamie Vardy,eng ENG,FW,30,37,37,"3,247",36.1,20,1,21,15,5,6,3,0,16.1,11.3,3.0,14.3,51,31,211,0.55,0.03,0.58,0.42,0.44,0.45,0.08,0.53,0.31,0.40,Matches
Riyad Mahrez,dz ALG,"MF,FW",26,36,34,"2,950",32.8,12,10,22,12,0,0,2,0,6.5,6.5,7.2,13.8,121,190,191,0.37,0.31,0.67,0.37,0.67,0.20,0.22,0.42,0.20,0.42,Matches
Kasper Schmeichel,dk DEN,GK,30,33,33,"2,965",32.9,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wilfred Ndidi,ng NGA,MF,20,33,33,"2,898",32.2,0,3,3,0,0,0,8,4,2.1,2.1,0.6,2.6,30,136,48,0.00,0.09,0.09,0.00,0.09,0.06,0.02,0.08,0.06,0.08,Matches
Wes Morgan,jm JAM,DF,33,32,32,"2,817",31.3,0,0,0,0,0,0,4,0,1.6,1.6,0.4,2.0,13,50,11,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Marc Albrighton,eng ENG,"MF,FW",27,34,30,"2,538",28.2,2,7,9,2,0,0,5,1,1.6,1.6,5.7,7.3,64,114,162,0.07,0.25,0.32,0.07,0.32,0.06,0.20,0.26,0.06,0.26,Matches
Danny Simpson,eng ENG,DF,30,28,27,"2,306",25.6,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,11,54,47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
Christian Fuchs,at AUT,DF,31,25,21,"1,921",21.3,0,1,1,0,0,0,1,0,0.5,0.5,1.2,1.7,28,85,56,0.00,0.05,0.05,0.00,0.05,0.03,0.05,0.08,0.03,0.08,Matches
Ben Chilwell,eng ENG,DF,20,24,20,"1,853",20.6,0,2,2,0,0,0,2,2,0.2,0.2,2.4,2.6,85,78,121,0.00,0.10,0.10,0.00,0.10,0.01,0.12,0.13,0.01,0.13,Matches
Demarai Gray,jm JAM,"MF,FW",21,35,17,"1,697",18.9,3,1,4,3,0,0,2,0,2.5,2.5,3.4,5.9,80,37,126,0.16,0.05,0.21,0.16,0.21,0.13,0.18,0.31,0.13,0.31,Matches
Vicente Iborra,es ESP,MF,29,19,17,"1,410",15.7,3,0,3,3,0,0,0,0,1.7,1.7,0.5,2.2,8,79,15,0.19,0.00,0.19,0.19,0.19,0.11,0.03,0.14,0.11,0.14,Matches
Shinji Okazaki,jp JPN,"FW,MF",31,27,17,"1,324",14.7,6,2,8,6,0,0,2,0,6.7,6.7,2.0,8.7,19,24,61,0.41,0.14,0.54,0.41,0.54,0.45,0.14,0.59,0.45,0.59,Matches
Matty James,eng ENG,MF,26,13,11,993,11.0,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.5,7,28,14,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
Adrien Silva,pt POR,MF,28,12,9,761,8.5,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.1,12,55,15,0.00,0.12,0.12,0.00,0.12,0.04,0.10,0.14,0.04,0.14,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",20,21,7,830,9.2,3,3,6,3,0,0,2,0,4.1,4.1,2.3,6.3,21,26,54,0.33,0.33,0.65,0.33,0.65,0.44,0.25,0.69,0.44,0.69,Matches
Aleksandar Dragović,at AUT,DF,26,11,7,769,8.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,27,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Daniel Amartey,gh GHA,DF,22,8,6,487,5.4,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,5,14,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fousseni Diabaté,ml MLI,"MF,FW",21,14,5,587,6.5,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.9,26,18,56,0.00,0.15,0.15,0.00,0.15,0.08,0.05,0.13,0.08,0.13,Matches
Andy King,wls WAL,MF,28,11,5,537,6.0,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,3,13,6,0.17,0.00,0.17,0.17,0.17,0.09,0.02,0.10,0.09,0.10,Matches
Hamza Choudhury,eng ENG,"MF,DF",19,8,4,378,4.2,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,2,16,1,0.00,0.24,0.24,0.00,0.24,0.01,0.09,0.10,0.01,0.10,Matches
Ben Hamer,eng ENG,GK,29,4,3,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Islam Slimani,dz ALG,FW,29,12,2,249,2.8,1,1,2,1,0,0,0,0,1.5,1.5,0.2,1.7,5,7,25,0.36,0.36,0.72,0.36,0.72,0.55,0.07,0.63,0.55,0.63,Matches
Eldin Jakupović,ch SUI,GK,32,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Yohan Benalouane,tn TUN,DF,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Leonardo Ulloa,ar ARG,FW,31,4,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,2,2,0.00,0.00,0.00,0.00,0.00,0.31,1.38,1.69,0.31,1.69,Matches
Harvey Barnes,eng ENG,"MF,FW",19,3,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64,Matches
Sam Hughes,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ahmed Musa,ng NGA,"FW,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Layton Ndukwu,eng ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
George Thomas,wls WAL,"FW,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kasper Schmeichel,dk DEN,GK,31,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Wilfred Ndidi,ng NGA,MF,21,38,37,"3,296",36.6,2,0,2,2,0,0,8,0,3.7,3.7,1.8,5.5,26,201,35,0.05,0.00,0.05,0.05,0.05,0.10,0.05,0.15,0.10,0.15,Matches
Ben Chilwell,eng ENG,DF,21,36,36,"3,240",36.0,0,4,4,0,0,0,4,0,1.1,1.1,2.9,4.1,146,146,215,0.00,0.11,0.11,0.00,0.11,0.03,0.08,0.11,0.03,0.11,Matches
