Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Thomas Kaminski,be BEL,GK,31-069,19,19,"1,710",19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alfie Doughty,eng ENG,"DF,MF",24-010,18,15,"1,317",14.6,1,4,5,1,0,0,2,0,0.5,0.5,2.9,3.4,43,52,68,0.07,0.27,0.34,0.07,0.34,0.03,0.20,0.23,0.03,0.23,Matches
Carlton Morris,eng ENG,FW,28-015,19,14,"1,250",13.9,3,2,5,1,2,2,1,0,4.3,2.8,0.5,3.3,12,32,61,0.22,0.14,0.36,0.07,0.22,0.31,0.04,0.35,0.20,0.24,Matches
Amari'i Bell,jm JAM,DF,29-240,14,14,"1,175",13.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,17,39,5,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Tom Lockyer,wls WAL,DF,29-028,14,14,"1,169",13.0,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,6,37,2,0.08,0.08,0.15,0.08,0.15,0.08,0.05,0.13,0.08,0.13,Matches
Marvelous Nakamba,zw ZIM,MF,29-346,13,13,"1,130",12.6,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.6,1,36,5,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
Issa Kaboré,bf BFA,DF,22-233,15,13,"1,048",11.6,0,1,1,0,0,0,4,0,0.2,0.2,1.6,1.8,33,30,45,0.00,0.09,0.09,0.00,0.09,0.02,0.13,0.15,0.02,0.15,Matches
Teden Mengi,eng ENG,DF,21-245,14,12,"1,132",12.6,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,6,23,0,0.08,0.00,0.08,0.08,0.08,0.02,0.01,0.03,0.02,0.03,Matches
Ross Barkley,eng ENG,MF,30-026,14,12,"1,075",11.9,2,1,3,2,0,0,3,0,1.6,1.6,1.7,3.3,16,64,15,0.17,0.08,0.25,0.17,0.25,0.13,0.15,0.28,0.13,0.28,Matches
Jacob Brown,sct SCO,"MF,FW",25-265,18,12,"1,007",11.2,2,0,2,2,0,0,4,0,2.7,2.7,0.7,3.4,23,19,51,0.18,0.00,0.18,0.18,0.18,0.24,0.06,0.30,0.24,0.30,Matches
Chiedozie Ogbene,ie IRL,"MF,DF",26-244,18,10,"1,014",11.3,1,1,2,1,0,0,0,0,1.1,1.1,2.1,3.2,66,16,76,0.09,0.09,0.18,0.09,0.18,0.10,0.19,0.29,0.10,0.29,Matches
Elijah Adebayo,eng ENG,FW,25-358,19,9,825,9.2,5,0,5,5,0,0,1,0,3.7,3.7,0.5,4.1,7,14,58,0.55,0.00,0.55,0.55,0.55,0.40,0.05,0.45,0.40,0.45,Matches
Gabriel Osho,eng ENG,DF,25-139,9,9,776,8.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,7,0,0.12,0.00,0.12,0.12,0.12,0.02,0.00,0.02,0.02,0.02,Matches
Pelly Ruddock Mpanzu,cd COD,MF,30-167,16,8,734,8.2,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,7,27,10,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
Andros Townsend,eng ENG,"MF,FW",32-168,11,8,620,6.9,1,2,3,1,0,0,0,0,0.8,0.8,0.8,1.6,20,18,28,0.15,0.29,0.44,0.15,0.44,0.12,0.12,0.24,0.12,0.24,Matches
Reece Burke,eng ENG,DF,27-120,8,7,595,6.6,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,0,24,9,0.00,0.15,0.15,0.00,0.15,0.06,0.06,0.12,0.06,0.12,Matches
Tahith Chong,nl NED,MF,24-027,15,6,731,8.1,1,0,1,1,0,0,3,0,0.9,0.9,0.0,1.0,19,32,33,0.12,0.00,0.12,0.12,0.12,0.12,0.00,0.12,0.12,0.12,Matches
Ryan John Giles,eng ENG,"DF,MF",23-339,11,5,503,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,17,30,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
