Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Ederson,br BRA,GK,23,36,36,"3,194",35.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin De Bruyne,be BEL,MF,26,37,36,"3,073",34.1,8,16,24,8,0,0,2,0,5.1,5.1,11.1,16.2,183,388,259,0.23,0.47,0.70,0.23,0.70,0.15,0.32,0.48,0.15,0.48,Matches
Nicolás Otamendi,ar ARG,DF,29,34,33,"2,967",33.0,4,0,4,4,0,0,9,0,2.7,2.7,0.9,3.6,92,212,8,0.12,0.00,0.12,0.12,0.12,0.08,0.03,0.11,0.08,0.11,Matches
Fernandinho,br BRA,MF,32,34,33,"2,881",32.0,5,3,8,5,0,0,7,0,2.1,2.1,2.8,4.9,80,320,38,0.16,0.09,0.25,0.16,0.25,0.06,0.09,0.15,0.06,0.15,Matches
Kyle Walker,eng ENG,DF,27,32,32,"2,785",30.9,0,6,6,0,0,0,3,2,0.6,0.6,4.6,5.3,105,221,190,0.00,0.19,0.19,0.00,0.19,0.02,0.15,0.17,0.02,0.17,Matches
Raheem Sterling,eng ENG,FW,22,33,29,"2,587",28.7,18,11,29,17,1,1,4,2,16.2,15.3,7.3,22.6,116,94,410,0.63,0.38,1.01,0.59,0.97,0.56,0.25,0.82,0.53,0.79,Matches
David Silva,es ESP,MF,31,29,28,"2,430",27.0,9,11,20,9,0,0,5,0,7.2,7.2,8.4,15.6,158,337,247,0.33,0.41,0.74,0.33,0.74,0.27,0.31,0.58,0.27,0.58,Matches
Leroy Sané,de GER,FW,21,32,27,"2,419",26.9,10,15,25,10,0,0,4,0,5.8,5.8,6.8,12.5,102,68,416,0.37,0.56,0.93,0.37,0.93,0.21,0.25,0.47,0.21,0.47,Matches
Sergio Agüero,ar ARG,FW,29,25,22,"1,963",21.8,21,6,27,17,4,4,2,0,16.2,13.1,5.6,18.7,89,49,214,0.96,0.28,1.24,0.78,1.05,0.75,0.26,1.00,0.60,0.86,Matches
Fabian Delph,eng ENG,DF,27,22,21,"1,741",19.3,1,2,3,1,0,0,2,0,0.3,0.3,1.2,1.5,53,132,63,0.05,0.10,0.16,0.05,0.16,0.01,0.06,0.08,0.01,0.08,Matches
Gabriel Jesus,br BRA,FW,20,29,19,"1,668",18.5,13,3,16,13,0,2,6,0,13.8,12.2,2.1,14.3,28,49,181,0.70,0.16,0.86,0.70,0.86,0.74,0.11,0.86,0.66,0.77,Matches
Vincent Kompany,be BEL,DF,31,17,17,"1,394",15.5,1,1,2,1,0,0,6,0,0.8,0.8,0.5,1.3,31,85,3,0.06,0.06,0.13,0.06,0.13,0.05,0.03,0.08,0.05,0.08,Matches
John Stones,eng ENG,DF,23,18,16,"1,302",14.5,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,11,71,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Bernardo Silva,pt POR,"FW,MF",22,35,15,"1,533",17.0,6,4,10,6,0,0,0,0,3.8,3.5,2.8,6.3,80,80,218,0.35,0.23,0.59,0.35,0.59,0.22,0.16,0.39,0.20,0.37,Matches
