Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
David de Gea,es ESP,GK,26,37,37,"3,330",37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nemanja Matić,rs SRB,MF,28,36,35,"3,118",34.6,1,1,2,1,0,0,6,0,0.7,0.7,1.6,2.3,74,237,23,0.03,0.03,0.06,0.03,0.06,0.02,0.05,0.07,0.02,0.07,Matches
Romelu Lukaku,be BEL,FW,24,34,33,"2,867",31.9,16,7,23,16,0,1,4,0,13.2,12.4,4.7,17.0,57,63,216,0.50,0.22,0.72,0.50,0.72,0.41,0.15,0.56,0.39,0.54,Matches
Antonio Valencia,ec ECU,DF,31,31,31,"2,740",30.4,3,1,4,3,0,0,7,0,0.5,0.5,1.2,1.7,103,84,152,0.10,0.03,0.13,0.10,0.13,0.02,0.04,0.06,0.02,0.06,Matches
Chris Smalling,eng ENG,DF,27,29,28,"2,536",28.2,4,0,4,4,0,0,4,0,1.7,1.7,0.2,2.0,5,37,8,0.14,0.00,0.14,0.14,0.14,0.06,0.01,0.07,0.06,0.07,Matches
Ashley Young,eng ENG,DF,32,30,28,"2,442",27.1,2,4,6,2,0,0,7,0,0.8,0.8,3.6,4.4,90,103,113,0.07,0.15,0.22,0.07,0.22,0.03,0.13,0.16,0.03,0.16,Matches
Paul Pogba,fr FRA,MF,24,27,25,"2,148",23.9,6,10,16,6,0,0,5,1,7.7,7.7,4.5,12.2,95,250,92,0.25,0.42,0.67,0.25,0.67,0.32,0.19,0.51,0.32,0.51,Matches
Phil Jones,eng ENG,DF,25,23,23,"1,973",21.9,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,13,45,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
Juan Mata,es ESP,FW,29,28,23,"1,922",21.4,3,5,8,3,0,0,1,0,3.7,3.7,4.5,8.3,46,101,162,0.14,0.23,0.37,0.14,0.37,0.18,0.21,0.39,0.18,0.39,Matches
Jesse Lingard,eng ENG,"MF,FW",24,33,20,"1,817",20.2,8,5,13,8,0,0,2,0,7.1,7.1,2.8,9.9,78,75,143,0.40,0.25,0.64,0.40,0.64,0.35,0.14,0.49,0.35,0.49,Matches
Anthony Martial,fr FRA,FW,21,30,18,"1,582",17.6,9,5,14,8,1,1,1,0,6.3,5.5,5.1,10.6,107,52,182,0.51,0.28,0.80,0.46,0.74,0.36,0.29,0.65,0.31,0.60,Matches
Marcus Rashford,eng ENG,"FW,MF",19,35,17,"1,813",20.1,7,5,12,7,0,0,3,0,5.2,5.2,3.8,9.0,82,46,160,0.35,0.25,0.60,0.35,0.60,0.26,0.19,0.45,0.26,0.45,Matches
Victor Lindelöf,se SWE,DF,23,17,13,"1,285",14.3,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,11,42,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Ander Herrera,es ESP,MF,27,26,13,"1,268",14.1,0,2,2,0,0,0,5,0,0.4,0.4,1.6,1.9,12,81,19,0.00,0.14,0.14,0.00,0.14,0.03,0.11,0.14,0.03,0.14,Matches
Alexis Sánchez,cl CHI,"FW,MF",28,12,12,"1,043",11.6,2,3,5,2,0,1,1,0,2.7,1.8,2.4,4.3,29,70,102,0.17,0.26,0.43,0.17,0.43,0.23,0.21,0.44,0.16,0.37,Matches
Eric Bailly,ci CIV,DF,23,13,11,"1,001",11.1,1,0,1,1,0,0,2,0,1.1,1.1,0.2,1.3,3,26,0,0.09,0.00,0.09,0.09,0.09,0.10,0.01,0.11,0.10,0.11,Matches
