Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Max Aarons,eng ENG,DF,19,36,36,"3,240",36.0,0,1,1,0,0,0,7,0,0.6,0.6,3.9,4.5,92,78,151,0.00,0.03,0.03,0.00,0.03,0.02,0.11,0.12,0.02,0.12,Matches
Tim Krul,nl NED,GK,31,36,36,"3,240",36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Teemu Pukki,fi FIN,FW,29,36,33,"2,886",32.1,11,3,14,9,2,2,3,0,11.2,9.7,3.8,13.5,46,22,194,0.34,0.09,0.44,0.28,0.37,0.35,0.12,0.47,0.30,0.42,Matches
Kenny McLean,sct SCO,MF,27,37,32,"2,968",33.0,1,1,2,1,0,0,5,0,1.4,1.4,2.6,4.0,46,173,73,0.03,0.03,0.06,0.03,0.06,0.04,0.08,0.12,0.04,0.12,Matches
Ben Godfrey,eng ENG,DF,21,30,30,"2,644",29.4,0,0,0,0,0,0,3,1,0.7,0.7,0.1,0.8,23,76,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
Todd Cantwell,eng ENG,"FW,MF",21,37,30,"2,489",27.7,6,2,8,6,0,0,6,0,5.4,5.4,1.9,7.3,75,99,138,0.22,0.07,0.29,0.22,0.29,0.19,0.07,0.26,0.19,0.26,Matches
Emi Buendía,ar ARG,"FW,MF",22,36,28,"2,464",27.4,1,7,8,1,0,0,6,1,2.2,2.2,6.8,9.0,68,194,106,0.04,0.26,0.29,0.04,0.29,0.08,0.25,0.33,0.08,0.33,Matches
Alexander Tettey,no NOR,"MF,DF",33,30,28,"2,338",26.0,1,1,2,1,0,0,5,0,0.8,0.8,0.5,1.4,19,54,12,0.04,0.04,0.08,0.04,0.08,0.03,0.02,0.05,0.03,0.05,Matches
Jamal Lewis,nir NIR,DF,21,28,25,"2,304",25.6,1,0,1,1,0,0,4,0,0.4,0.4,1.0,1.4,100,74,106,0.04,0.00,0.04,0.04,0.04,0.01,0.04,0.05,0.01,0.05,Matches
Christoph Zimmermann,de GER,DF,26,17,16,"1,430",15.9,0,1,1,0,0,0,3,0,0.4,0.4,0.1,0.5,8,33,0,0.00,0.06,0.06,0.00,0.06,0.02,0.01,0.03,0.02,0.03,Matches
Sam Byram,eng ENG,DF,25,17,15,"1,293",14.4,0,0,0,0,0,0,4,0,1.4,1.4,0.4,1.7,21,41,58,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.12,0.10,0.12,Matches
Onel Hernández,cu CUB,"FW,MF",26,26,14,"1,384",15.4,1,2,3,1,0,0,0,0,2.2,2.2,0.9,3.2,72,22,124,0.07,0.13,0.20,0.07,0.20,0.15,0.06,0.21,0.15,0.21,Matches
