Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",22,35,34,"2,971",33.0,5,8,13,3,2,2,5,0,6.0,4.4,8.2,12.7,69,131,157,0.15,0.24,0.39,0.09,0.33,0.18,0.25,0.43,0.13,0.38,Matches
Brennan Johnson,wls WAL,"FW,MF",21,38,33,"2,934",32.6,8,3,11,7,1,3,6,0,8.6,6.2,3.2,9.4,88,30,155,0.25,0.09,0.34,0.21,0.31,0.26,0.10,0.36,0.19,0.29,Matches
Renan Lodi,br BRA,DF,24,28,26,"2,214",24.6,0,1,1,0,0,0,7,0,1.0,1.0,1.2,2.1,24,31,70,0.00,0.04,0.04,0.00,0.04,0.04,0.05,0.09,0.04,0.09,Matches
Remo Freuler,ch SUI,MF,30,28,24,"2,161",24.0,0,0,0,0,0,0,4,0,0.4,0.4,0.8,1.2,7,54,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Serge Aurier,ci CIV,DF,29,24,22,"1,943",21.6,1,0,1,1,0,0,2,0,0.8,0.8,1.0,1.8,37,71,50,0.05,0.00,0.05,0.05,0.05,0.04,0.05,0.08,0.04,0.08,Matches
Joe Worrall,eng ENG,DF,25,30,21,"2,224",24.7,1,0,1,1,0,0,6,0,0.8,0.8,0.8,1.6,5,67,1,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,Matches
Ryan Yates,eng ENG,MF,24,26,21,"1,837",20.4,0,2,2,0,0,0,5,0,2.3,2.3,1.2,3.4,11,43,27,0.00,0.10,0.10,0.00,0.10,0.11,0.06,0.17,0.11,0.17,Matches
Neco Williams,wls WAL,DF,21,31,20,"1,882",20.9,1,0,1,1,0,0,7,0,1.3,1.3,1.4,2.7,51,33,67,0.05,0.00,0.05,0.05,0.05,0.06,0.07,0.13,0.06,0.13,Matches
Orel Mangala,be BEL,MF,24,27,20,"1,550",17.2,1,1,2,1,0,0,3,0,0.6,0.6,0.4,0.9,14,43,8,0.06,0.06,0.12,0.06,0.12,0.03,0.02,0.06,0.03,0.06,Matches
Scott McKenna,sct SCO,DF,25,20,19,"1,571",17.5,0,0,0,0,0,0,4,0,0.1,0.1,1.0,1.1,5,35,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Dean Henderson,eng ENG,GK,25,18,18,"1,620",18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Keylor Navas,cr CRC,GK,35,17,17,"1,529",17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Taiwo Awoniyi,ng NGA,FW,24,27,17,"1,404",15.6,10,1,11,10,0,0,2,0,6.6,6.6,1.1,7.7,18,12,55,0.64,0.06,0.71,0.64,0.71,0.42,0.07,0.49,0.42,0.49,Matches
Felipe,br BRA,DF,33,16,15,"1,418",15.8,0,1,1,0,0,0,4,0,1.2,1.2,0.9,2.1,3,22,4,0.00,0.06,0.06,0.00,0.06,0.07,0.06,0.13,0.07,0.13,Matches
Moussa Niakhate,sn SEN,DF,26,14,14,"1,163",12.9,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,2,15,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Danilo,br BRA,MF,21,13,12,976,10.8,3,2,5,3,0,0,1,0,1.5,1.5,0.7,2.3,13,34,22,0.28,0.18,0.46,0.28,0.46,0.14,0.07,0.21,0.14,0.21,Matches
Jesse Lingard,eng ENG,"FW,MF",29,17,12,923,10.3,0,0,0,0,0,0,1,0,1.0,1.0,0.7,1.7,11,33,38,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
Steve Cook,eng ENG,DF,31,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches
Cheikhou Kouyaté,sn SEN,MF,32,21,10,882,9.8,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.1,6,19,14,0.10,0.00,0.10,0.10,0.10,0.04,0.07,0.11,0.04,0.11,Matches
Harry Toffolo,eng ENG,DF,26,19,9,940,10.4,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1.0,8,29,43,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches
Willy Boly,ci CIV,DF,31,11,9,685,7.6,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,1,12,0,0.00,0.13,0.13,0.00,0.13,0.01,0.03,0.03,0.01,0.03,Matches
Emmanuel Dennis,ng NGA,"FW,MF",24,19,6,720,8.0,2,2,4,2,0,0,3,0,1.9,1.9,0.6,2.4,24,17,63,0.25,0.25,0.50,0.25,0.50,0.23,0.07,0.30,0.23,0.30,Matches
Lewis O'Brien,eng ENG,MF,23,13,6,584,6.5,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,13,21,3,0.15,0.00,0.15,0.15,0.15,0.05,0.03,0.08,0.05,0.08,Matches
Jonjo Shelvey,eng ENG,MF,30,8,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,1,34,0,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Chris Wood,nz NZL,FW,30,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,7,12,0.24,0.00,0.24,0.24,0.24,0.23,0.05,0.28,0.23,0.28,Matches
Jack Colback,eng ENG,MF,32,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Wayne Hennessey,wls WAL,GK,35,4,3,271,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
