Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
George Baldock,gr GRE,DF,26,38,38,"3,420",38.0,2,3,5,2,0,0,7,0,0.6,0.6,1.7,2.4,97,103,197,0.05,0.08,0.13,0.05,0.13,0.02,0.05,0.06,0.02,0.06,Matches
Enda Stevens,ie IRL,DF,29,38,38,"3,345",37.2,2,4,6,2,0,0,7,0,1.3,1.3,5.3,6.6,92,174,197,0.05,0.11,0.16,0.05,0.16,0.04,0.14,0.18,0.04,0.18,Matches
Chris Basham,eng ENG,DF,31,38,38,"3,242",36.0,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,32,82,70,0.00,0.03,0.03,0.00,0.03,0.01,0.04,0.04,0.01,0.04,Matches
Oliver Norwood,nir NIR,MF,28,38,37,"3,090",34.3,1,1,2,0,1,1,8,0,1.5,0.7,4.3,5.0,7,258,26,0.03,0.03,0.06,0.00,0.03,0.04,0.13,0.17,0.02,0.15,Matches
Dean Henderson,eng ENG,GK,22,36,36,"3,240",36.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
John Egan,ie IRL,DF,26,36,36,"3,187",35.4,2,0,2,2,0,0,5,1,2.7,2.7,0.4,3.2,6,66,5,0.06,0.00,0.06,0.06,0.06,0.08,0.01,0.09,0.08,0.09,Matches
Jack O'Connell,eng ENG,DF,25,33,32,"2,916",32.4,0,1,1,0,0,0,4,0,1.0,1.0,3.1,4.2,12,131,59,0.00,0.03,0.03,0.00,0.03,0.03,0.10,0.13,0.03,0.13,Matches
John Fleck,sct SCO,MF,27,30,28,"2,516",28.0,5,2,7,5,0,0,8,0,3.1,3.1,3.4,6.5,48,139,90,0.18,0.07,0.25,0.18,0.25,0.11,0.12,0.23,0.11,0.23,Matches
John Lundstram,eng ENG,MF,25,34,26,"2,458",27.3,5,3,8,5,0,0,5,0,5.3,5.3,3.4,8.7,36,122,111,0.18,0.11,0.29,0.18,0.29,0.19,0.12,0.32,0.19,0.32,Matches
Oliver McBurnie,sct SCO,FW,23,36,24,"2,113",23.5,6,0,6,6,0,0,4,0,7.7,7.7,1.1,8.8,26,58,109,0.26,0.00,0.26,0.26,0.26,0.33,0.05,0.38,0.33,0.38,Matches
David McGoldrick,ie IRL,FW,31,28,22,"1,815",20.2,2,2,4,2,0,0,2,0,8.0,8.0,2.3,10.3,29,43,129,0.10,0.10,0.20,0.10,0.20,0.40,0.12,0.51,0.40,0.51,Matches
Sander Berge,no NOR,MF,21,14,12,943,10.5,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.3,18,52,35,0.10,0.10,0.19,0.10,0.19,0.06,0.06,0.12,0.06,0.12,Matches
