Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Joe Allen,wls WAL,MF,27,36,36,"3,139",34.9,2,6,8,2,0,0,8,0,1.8,1.8,2.8,4.6,37,165,89,0.06,0.17,0.23,0.06,0.23,0.05,0.08,0.13,0.05,0.13,Matches
Xherdan Shaqiri,ch SUI,"MF,FW",25,36,36,"3,039",33.8,8,7,15,8,0,1,5,0,5.0,4.2,7.1,11.3,81,161,183,0.24,0.21,0.44,0.24,0.44,0.15,0.21,0.36,0.12,0.33,Matches
Jack Butland,eng ENG,GK,24,35,35,"3,150",35.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kurt Zouma,fr FRA,DF,22,34,32,"2,888",32.1,1,0,1,1,0,0,1,0,1.3,1.2,0.4,1.6,23,86,11,0.03,0.00,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,Matches
Erik Pieters,nl NED,DF,28,31,30,"2,718",30.2,0,1,1,0,0,0,5,0,0.1,0.1,1.5,1.6,35,113,71,0.00,0.03,0.03,0.00,0.03,0.00,0.05,0.05,0.00,0.05,Matches
Mame Biram Diouf,sn SEN,"FW,DF",29,35,30,"2,596",28.8,6,2,8,6,0,0,6,0,6.5,6.5,1.9,8.4,38,43,172,0.21,0.07,0.28,0.21,0.28,0.22,0.07,0.29,0.22,0.29,Matches
Ryan Shawcross,eng ENG,DF,29,27,27,"2,371",26.3,1,1,2,1,0,0,2,0,2.5,2.5,0.3,2.8,5,46,9,0.04,0.04,0.08,0.04,0.08,0.09,0.01,0.11,0.09,0.11,Matches
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",28,30,26,"2,314",25.7,5,5,10,5,0,0,3,0,5.9,5.9,3.1,9.1,72,56,173,0.19,0.19,0.39,0.19,0.39,0.24,0.13,0.36,0.24,0.36,Matches
Darren Fletcher,sct SCO,MF,33,27,25,"2,219",24.7,1,1,2,1,0,0,0,0,0.4,0.4,1.6,1.9,16,100,20,0.04,0.04,0.08,0.04,0.08,0.01,0.06,0.08,0.01,0.08,Matches
Geoff Cameron,us USA,"DF,MF",32,20,17,"1,525",16.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,9,48,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Moritz Bauer,at AUT,"DF,MF",25,15,15,"1,306",14.5,0,0,0,0,0,0,4,0,0.2,0.2,0.9,1.1,25,19,45,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.08,0.01,0.08,Matches
Peter Crouch,eng ENG,FW,36,31,14,"1,567",17.4,5,2,7,5,0,0,4,0,4.2,4.2,2.8,7.0,9,41,85,0.29,0.11,0.40,0.29,0.40,0.24,0.16,0.40,0.24,0.40,Matches
Kevin Wimmer,at AUT,DF,24,17,14,"1,323",14.7,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,3,40,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
Bruno Martins Indi,nl NED,DF,25,17,14,"1,243",13.8,0,0,0,0,0,0,3,0,1.0,1.0,0.1,1.1,2,28,4,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Badou Ndiaye,sn SEN,MF,26,13,13,"1,138",12.6,2,1,3,2,0,0,5,0,1.6,1.6,0.3,1.9,12,46,20,0.16,0.08,0.24,0.16,0.24,0.13,0.02,0.15,0.13,0.15,Matches
Ramadan Sobhi,eg EGY,"MF,FW",20,24,12,"1,238",13.8,2,0,2,2,0,0,2,0,1.2,1.2,1.0,2.2,58,38,102,0.15,0.00,0.15,0.15,0.15,0.09,0.07,0.16,0.09,0.16,Matches
