Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Łukasz Fabiański,pl POL,GK,32,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alfie Mawson,eng ENG,DF,23,38,38,"3,420",38.0,2,1,3,2,0,0,3,0,1.9,1.9,0.6,2.5,29,92,8,0.05,0.03,0.08,0.05,0.08,0.05,0.02,0.06,0.05,0.06,Matches
Martin Olsson,se SWE,DF,29,36,36,"3,149",35.0,0,1,1,0,0,0,7,0,0.9,0.9,0.8,1.7,112,87,143,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Kyle Naughton,eng ENG,DF,28,34,34,"3,030",33.7,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,50,193,88,0.00,0.06,0.06,0.00,0.06,0.01,0.01,0.03,0.01,0.03,Matches
Jordan Ayew,gh GHA,"FW,MF",25,36,33,"2,852",31.7,7,2,9,6,1,1,2,1,7.3,6.5,2.0,8.5,76,50,232,0.22,0.06,0.28,0.19,0.25,0.23,0.06,0.29,0.20,0.27,Matches
Federico Fernández,ar ARG,DF,28,30,30,"2,676",29.7,1,1,2,1,0,0,5,0,0.7,0.7,0.7,1.4,5,72,8,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.05,0.02,0.05,Matches
Tom Carroll,eng ENG,MF,25,37,28,"2,570",28.6,0,4,4,0,0,0,3,0,0.9,0.9,4.1,5.0,54,179,57,0.00,0.14,0.14,0.00,0.14,0.03,0.14,0.18,0.03,0.18,Matches
Mike van der Hoorn,nl NED,DF,24,24,24,"1,944",21.6,1,0,1,1,0,0,4,0,1.0,1.0,0.6,1.6,8,41,5,0.05,0.00,0.05,0.05,0.05,0.05,0.03,0.07,0.05,0.07,Matches
Sam Clucas,eng ENG,MF,26,29,23,"2,044",22.7,3,1,4,3,0,0,2,0,2.6,2.6,1.3,3.8,24,61,68,0.13,0.04,0.18,0.13,0.18,0.11,0.06,0.17,0.11,0.17,Matches
Ki Sung-yueng,kr KOR,MF,28,25,21,"1,868",20.8,2,2,4,2,0,0,2,0,0.9,0.9,1.5,2.4,17,64,30,0.10,0.10,0.19,0.10,0.19,0.05,0.07,0.12,0.05,0.12,Matches
Nathan Dyer,eng ENG,"MF,FW",29,24,16,"1,307",14.5,0,0,0,0,0,0,2,0,0.9,0.9,0.8,1.7,53,34,119,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12,Matches
Tammy Abraham,eng ENG,FW,19,31,15,"1,726",19.2,5,1,6,5,0,0,0,0,6.8,6.8,1.6,8.4,19,20,104,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44,Matches
Leroy Fer,nl NED,MF,27,20,15,"1,397",15.5,1,1,2,1,0,0,5,0,1.6,1.6,1.0,2.7,22,66,23,0.06,0.06,0.13,0.06,0.13,0.11,0.07,0.17,0.11,0.17,Matches
André Ayew,gh GHA,"MF,FW",27,12,10,950,10.6,0,2,2,0,0,0,3,0,1.9,1.9,1.3,3.2,16,24,53,0.00,0.19,0.19,0.00,0.19,0.18,0.13,0.30,0.18,0.30,Matches
Roque Mesa,es ESP,MF,28,11,9,754,8.4,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,12,36,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Andy King,wls WAL,MF,28,11,9,715,7.9,2,1,3,2,0,0,1,0,1.0,1.0,0.2,1.2,5,38,5,0.25,0.13,0.38,0.25,0.38,0.12,0.03,0.15,0.12,0.15,Matches
Renato Sanches,pt POR,MF,19,12,9,702,7.8,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,32,45,33,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
Wilfried Bony,ci CIV,FW,28,15,8,707,7.9,2,0,2,2,0,0,2,0,1.6,1.6,0.2,1.8,7,11,41,0.25,0.00,0.25,0.25,0.25,0.20,0.03,0.23,0.20,0.23,Matches
Luciano Narsingh,nl NED,"FW,MF",26,18,5,625,6.9,1,0,1,1,0,0,0,0,0.8,0.8,1.1,2.0,30,15,73,0.14,0.00,0.14,0.14,0.14,0.12,0.16,0.28,0.12,0.28,Matches
Wayne Routledge,eng ENG,"MF,FW",32,15,4,429,4.8,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,9,17,36,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.17,0.09,0.17,Matches
Leon Britton,eng ENG,MF,34,5,4,302,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Connor Roberts,wls WAL,DF,21,4,3,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,11,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oliver McBurnie,sct SCO,"FW,MF",21,11,2,276,3.1,0,1,1,0,0,0,0,0,0.4,0.4,0.7,1.1,4,9,26,0.00,0.33,0.33,0.00,0.33,0.14,0.22,0.36,0.14,0.36,Matches
Kyle Bartley,eng ENG,DF,26,5,2,235,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,2,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.16,0.05,0.16,Matches
Àngel Rangel,es ESP,DF,34,4,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Jay Fulton,sct SCO,MF,23,2,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Erwin Mulder,nl NED,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kristoffer Nordfeldt,se SWE,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joe Rodon,wls WAL,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
