Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Christian Eriksen,dk DEN,"MF,FW",25,37,37,"3,218",35.8,10,10,20,10,0,0,0,0,7.0,7.0,11.6,18.6,83,333,237,0.28,0.28,0.56,0.28,0.56,0.20,0.32,0.52,0.20,0.52,Matches
Hugo Lloris,fr FRA,GK,30,36,36,"3,240",36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jan Vertonghen,be BEL,DF,30,36,36,"3,203",35.6,0,0,0,0,0,0,4,0,1.0,1.0,0.8,1.7,68,243,29,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Harry Kane,eng ENG,FW,24,37,35,"3,076",34.2,30,2,32,28,2,3,5,0,24.8,22.4,2.7,25.1,58,94,261,0.88,0.06,0.94,0.82,0.88,0.72,0.08,0.80,0.66,0.73,Matches
Dele Alli,eng ENG,"MF,FW",21,36,34,"2,958",32.9,9,10,19,9,0,0,7,0,9.1,9.1,8.2,17.3,100,181,359,0.27,0.30,0.58,0.27,0.58,0.28,0.25,0.53,0.28,0.53,Matches
Eric Dier,eng ENG,"MF,DF",23,34,32,"2,824",31.4,0,2,2,0,0,0,4,0,2.0,2.0,1.7,3.7,35,213,29,0.00,0.06,0.06,0.00,0.06,0.06,0.05,0.12,0.06,0.12,Matches
Davinson Sánchez,co COL,DF,21,31,29,"2,534",28.2,0,0,0,0,0,0,1,1,0.5,0.5,0.1,0.7,8,82,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Son Heung-min,kr KOR,FW,25,37,27,"2,317",25.7,12,6,18,12,0,0,0,0,10.2,10.2,6.2,16.4,111,92,339,0.47,0.23,0.70,0.47,0.70,0.40,0.24,0.64,0.40,0.64,Matches
Ben Davies,wls WAL,DF,24,29,26,"2,324",25.8,2,6,8,2,0,0,3,0,1.1,1.1,3.2,4.3,73,165,178,0.08,0.23,0.31,0.08,0.31,0.04,0.12,0.16,0.04,0.16,Matches
Kieran Trippier,eng ENG,DF,26,24,21,"1,914",21.3,0,5,5,0,0,0,1,0,0.4,0.4,4.2,4.6,37,114,195,0.00,0.24,0.24,0.00,0.24,0.02,0.20,0.22,0.02,0.22,Matches
Mousa Dembélé,be BEL,MF,30,28,21,"1,879",20.9,0,0,0,0,0,0,6,0,0.4,0.4,0.7,1.1,66,211,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Serge Aurier,ci CIV,DF,24,17,16,"1,429",15.9,2,2,4,2,0,0,2,2,0.8,0.8,2.6,3.4,32,67,152,0.13,0.13,0.25,0.13,0.25,0.05,0.16,0.21,0.05,0.21,Matches
Moussa Sissoko,fr FRA,"MF,FW",27,32,15,"1,386",15.4,1,1,2,1,0,0,3,0,2.2,2.2,2.2,4.4,50,85,102,0.06,0.06,0.13,0.06,0.13,0.14,0.14,0.28,0.14,0.28,Matches
Toby Alderweireld,be BEL,DF,28,14,13,"1,178",13.1,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,12,109,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Danny Rose,eng ENG,DF,27,10,9,800,8.9,0,1,1,0,0,0,4,0,0.6,0.6,0.6,1.2,36,56,77,0.00,0.11,0.11,0.00,0.11,0.07,0.07,0.14,0.07,0.14,Matches
Harry Winks,eng ENG,MF,21,16,9,774,8.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,14,69,17,0.00,0.12,0.12,0.00,0.12,0.01,0.06,0.07,0.01,0.07,Matches
Victor Wanyama,ke KEN,MF,26,18,8,846,9.4,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,23,65,14,0.11,0.00,0.11,0.11,0.11,0.05,0.02,0.07,0.05,0.07,Matches
Érik Lamela,ar ARG,"FW,MF",25,25,7,843,9.4,2,2,4,2,0,0,4,0,3.4,3.4,2.0,5.4,30,46,116,0.21,0.21,0.43,0.21,0.43,0.37,0.21,0.57,0.37,0.57,Matches
Lucas Moura,br BRA,"FW,MF",24,6,2,210,2.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,15,12,37,0.00,0.43,0.43,0.00,0.43,0.08,0.11,0.18,0.08,0.18,Matches
Kyle Walker-Peters,eng ENG,DF,20,3,2,189,2.1,0,2,2,0,0,0,0,0,0.0,0.0,1.2,1.2,8,8,21,0.00,0.95,0.95,0.00,0.95,0.00,0.59,0.59,0.00,0.59,Matches
Fernando Llorente,es ESP,"FW,MF",32,16,1,238,2.6,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,3,4,32,0.38,0.00,0.38,0.38,0.38,0.38,0.06,0.44,0.38,0.44,Matches
Paulo Gazzaniga,ar ARG,GK,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michel Vorm,nl NED,GK,33,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vincent Janssen,nl NED,DF,23,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Georges-Kévin N'Koudou,cm CMR,MF,22,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Cameron Carter-Vickers,us USA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Juan Foyth,ar ARG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tashan Oakley-Boothe,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kazaiah Sterling,eng ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alfie Whiteman,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kevin Wimmer,at AUT,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hugo Lloris,fr FRA,GK,31,33,33,"2,970",33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Toby Alderweireld,be BEL,DF,29,34,33,"2,922",32.5,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.8,25,161,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Christian Eriksen,dk DEN,MF,26,35,30,"2,774",30.8,8,12,20,8,0,0,3,0,5.4,5.4,7.4,12.8,78,212,132,0.26,0.39,0.65,0.26,0.65,0.17,0.24,0.42,0.17,0.42,Matches
Harry Kane,eng ENG,FW,25,28,27,"2,424",26.9,17,4,21,13,4,4,5,0,14.4,11.3,4.0,15.3,59,80,194,0.63,0.15,0.78,0.48,0.63,0.54,0.15,0.68,0.42,0.57,Matches
Moussa Sissoko,fr FRA,"MF,FW",28,29,27,"2,330",25.9,0,3,3,0,0,0,2,0,0.9,0.9,2.5,3.4,79,97,96,0.00,0.12,0.12,0.00,0.12,0.04,0.09,0.13,0.04,0.13,Matches
Kieran Trippier,eng ENG,DF,27,27,26,"2,276",25.3,1,3,4,1,0,0,2,0,0.5,0.5,4.1,4.6,40,179,200,0.04,0.12,0.16,0.04,0.16,0.02,0.16,0.18,0.02,0.18,Matches
Lucas Moura,br BRA,"FW,MF",25,32,25,"2,121",23.6,10,0,10,10,0,0,3,0,6.3,6.3,1.5,7.8,79,63,193,0.42,0.00,0.42,0.42,0.42,0.27,0.06,0.33,0.27,0.33,Matches
Son Heung-min,kr KOR,"FW,MF",26,31,23,"2,039",22.7,12,6,18,12,0,0,2,1,7.5,7.5,3.6,11.1,105,81,201,0.53,0.26,0.79,0.53,0.79,0.33,0.16,0.49,0.33,0.49,Matches
