Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Abdoulaye Doucouré,ml MLI,MF,24,37,37,"3,324",36.9,7,3,10,7,0,0,10,0,3.5,3.5,2.3,5.9,73,222,79,0.19,0.08,0.27,0.19,0.27,0.10,0.06,0.16,0.10,0.16,Matches
Richarlison,br BRA,"FW,MF",20,38,32,"2,823",31.4,5,4,9,5,0,0,4,0,10.3,10.3,3.4,13.7,126,73,306,0.16,0.13,0.29,0.16,0.29,0.33,0.11,0.44,0.33,0.44,Matches
Christian Kabasele,be BEL,DF,26,28,27,"2,330",25.9,2,0,2,2,0,0,5,0,0.7,0.7,0.1,0.9,10,74,7,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03,Matches
José Holebas,gr GRE,DF,33,28,26,"2,382",26.5,0,4,4,0,0,0,7,0,0.6,0.6,3.2,3.8,53,98,84,0.00,0.15,0.15,0.00,0.15,0.02,0.12,0.14,0.02,0.14,Matches
Adrian Mariappa,jm JAM,DF,30,28,24,"2,210",24.6,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.8,8,60,6,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
Heurelho Gomes,br BRA,GK,36,24,24,"2,128",23.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tom Cleverley,eng ENG,MF,27,23,22,"1,902",21.1,1,2,3,1,0,1,2,2,1.9,1.1,1.6,2.7,31,136,66,0.05,0.09,0.14,0.05,0.14,0.09,0.08,0.17,0.05,0.13,Matches
Daryl Janmaat,nl NED,DF,28,23,21,"1,820",20.2,3,0,3,3,0,0,3,0,1.8,1.8,1.0,2.8,29,107,55,0.15,0.00,0.15,0.15,0.15,0.09,0.05,0.14,0.09,0.14,Matches
Troy Deeney,eng ENG,FW,29,29,20,"1,844",20.5,5,2,7,2,3,5,1,1,6.9,2.8,2.8,5.7,3,71,126,0.24,0.10,0.34,0.10,0.20,0.33,0.14,0.47,0.14,0.28,Matches
Kiko Femenía,es ESP,"DF,FW",26,23,19,"1,713",19.0,1,1,2,1,0,0,2,0,0.4,0.4,1.8,2.1,54,72,103,0.05,0.05,0.11,0.05,0.11,0.02,0.09,0.11,0.02,0.11,Matches
Roberto Pereyra,ar ARG,"MF,FW",26,32,18,"1,624",18.0,5,2,7,5,0,0,3,0,3.3,3.3,3.0,6.3,61,79,112,0.28,0.11,0.39,0.28,0.39,0.18,0.17,0.35,0.18,0.35,Matches
Étienne Capoue,fr FRA,MF,29,23,18,"1,542",17.1,1,0,1,1,0,0,3,0,0.8,0.8,0.6,1.4,8,74,22,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,Matches
Sebastian Prödl,at AUT,DF,30,21,17,"1,570",17.4,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.9,4,40,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
André Carrillo,pe PER,"FW,MF",26,28,16,"1,540",17.1,1,2,3,1,0,0,2,0,2.3,2.3,2.8,5.1,71,72,97,0.06,0.12,0.18,0.06,0.18,0.14,0.16,0.30,0.14,0.30,Matches
Andre Gray,jm JAM,FW,26,31,16,"1,498",16.6,5,2,7,5,0,0,1,0,6.7,6.7,2.1,8.8,18,17,133,0.30,0.12,0.42,0.30,0.42,0.40,0.13,0.53,0.40,0.53,Matches
Orestis Karnezis,gr GRE,GK,32,15,14,"1,292",14.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marvin Zeegelaar,nl NED,DF,26,12,12,994,11.0,0,1,1,0,0,0,4,1,0.0,0.0,1.0,1.0,30,54,44,0.00,0.09,0.09,0.00,0.09,0.00,0.09,0.09,0.00,0.09,Matches
Will Hughes,eng ENG,MF,22,15,11,990,11.0,2,3,5,2,0,0,0,0,0.6,0.6,1.5,2.1,16,60,58,0.18,0.27,0.45,0.18,0.45,0.05,0.13,0.19,0.05,0.19,Matches
Miguel Britos,uy URU,DF,32,12,10,797,8.9,1,0,1,1,0,0,3,1,0.8,0.8,0.4,1.2,5,43,4,0.11,0.00,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14,Matches
Ben Watson,eng ENG,MF,32,8,6,456,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,1,24,5,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Craig Cathcart,nir NIR,DF,28,7,5,523,5.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,11,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Nathaniel Chalobah,eng ENG,MF,22,6,5,447,5.0,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.9,7,22,14,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.18,0.17,0.18,Matches
Molla Wagué,ml MLI,DF,26,6,5,438,4.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,6,0,0.21,0.00,0.21,0.21,0.21,0.08,0.00,0.08,0.08,0.08,Matches
Gerard Deulofeu,es ESP,"FW,MF",23,7,5,435,4.8,1,0,1,1,0,0,0,0,0.5,0.5,0.6,1.1,23,13,32,0.21,0.00,0.21,0.21,0.21,0.11,0.13,0.24,0.11,0.24,Matches
Stefano Okaka,it ITA,FW,27,15,3,453,5.0,1,1,2,1,0,0,2,0,1.8,1.8,0.4,2.2,8,10,48,0.20,0.20,0.40,0.20,0.40,0.36,0.07,0.43,0.36,0.43,Matches
