Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Ahmed Hegazi,eg EGY,DF,26,38,38,"3,386",37.6,2,0,2,2,0,0,4,0,1.7,1.7,0.6,2.2,9,65,8,0.05,0.00,0.05,0.05,0.05,0.04,0.01,0.06,0.04,0.06,Matches
Ben Foster,eng ENG,GK,34,37,37,"3,330",37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kieran Gibbs,eng ENG,DF,27,33,32,"2,827",31.4,0,1,1,0,0,0,3,0,0.4,0.4,1.8,2.2,59,97,89,0.00,0.03,0.03,0.00,0.03,0.01,0.06,0.07,0.01,0.07,Matches
Salomón Rondón,ve VEN,FW,27,36,32,"2,767",30.7,7,3,10,7,0,0,4,0,7.0,7.0,2.8,9.8,45,66,201,0.23,0.10,0.33,0.23,0.33,0.23,0.09,0.32,0.23,0.32,Matches
Jay Rodriguez,eng ENG,"FW,MF",28,37,31,"2,812",31.2,7,1,8,6,1,1,2,0,8.4,7.6,1.6,9.2,47,52,166,0.22,0.03,0.26,0.19,0.22,0.27,0.05,0.32,0.24,0.30,Matches
Jake Livermore,eng ENG,MF,27,34,30,"2,674",29.7,2,2,4,2,0,0,5,0,2.3,2.3,1.9,4.2,26,133,55,0.07,0.07,0.13,0.07,0.13,0.08,0.06,0.14,0.08,0.14,Matches
Craig Dawson,eng ENG,DF,27,28,28,"2,510",27.9,2,0,2,2,0,0,6,0,2.3,2.3,1.2,3.5,18,83,20,0.07,0.00,0.07,0.07,0.07,0.08,0.04,0.13,0.08,0.13,Matches
Jonny Evans,nir NIR,DF,29,28,26,"2,270",25.2,2,2,4,2,0,0,7,0,2.1,2.1,0.9,3.0,21,56,9,0.08,0.08,0.16,0.08,0.16,0.08,0.03,0.12,0.08,0.12,Matches
Allan Nyom,cm CMR,DF,29,29,25,"2,310",25.7,0,1,1,0,0,0,7,0,0.1,0.1,1.1,1.2,36,58,71,0.00,0.04,0.04,0.00,0.04,0.00,0.04,0.05,0.00,0.05,Matches
Matt Phillips,sct SCO,"MF,DF",26,30,23,"2,093",23.3,2,2,4,2,0,0,3,0,2.4,2.4,4.1,6.5,85,31,146,0.09,0.09,0.17,0.09,0.17,0.10,0.18,0.28,0.10,0.28,Matches
Gareth Barry,eng ENG,MF,36,25,22,"1,923",21.4,1,1,2,1,0,0,4,0,1.6,1.6,1.4,3.0,20,126,23,0.05,0.05,0.09,0.05,0.09,0.07,0.07,0.14,0.07,0.14,Matches
Chris Brunt,nir NIR,"MF,DF",32,26,22,"1,920",21.3,0,7,7,0,0,0,5,0,1.8,1.8,4.3,6.1,24,100,37,0.00,0.33,0.33,0.00,0.33,0.09,0.20,0.29,0.09,0.29,Matches
Grzegorz Krychowiak,pl POL,MF,27,27,20,"1,641",18.2,0,2,2,0,0,0,2,0,0.8,0.8,1.8,2.6,22,101,25,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14,Matches
James McClean,ie IRL,"MF,FW",28,30,14,"1,406",15.6,1,0,1,1,0,0,7,0,1.8,1.8,0.8,2.7,49,12,94,0.06,0.00,0.06,0.06,0.06,0.12,0.05,0.17,0.12,0.17,Matches
Claudio Yacob,ar ARG,MF,30,16,9,903,10.0,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.5,2,28,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Hal Robson-Kanu,wls WAL,"FW,MF",28,21,8,827,9.2,2,0,2,2,0,0,2,1,2.4,2.4,0.4,2.8,17,24,63,0.22,0.00,0.22,0.22,0.22,0.26,0.04,0.31,0.26,0.31,Matches
Sam Field,eng ENG,MF,19,10,7,537,6.0,1,0,1,1,0,0,3,0,0.5,0.5,0.2,0.8,4,32,14,0.17,0.00,0.17,0.17,0.17,0.09,0.04,0.13,0.09,0.13,Matches
Gareth McAuley,nir NIR,DF,37,9,5,458,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Burke,sct SCO,"FW,MF",20,15,2,367,4.1,0,2,2,0,0,0,0,0,0.5,0.5,0.5,1.0,12,6,37,0.00,0.49,0.49,0.00,0.49,0.12,0.13,0.25,0.12,0.25,Matches
Nacer Chadli,be BEL,"FW,MF",27,5,2,260,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,4,7,8,0.35,0.00,0.35,0.35,0.35,0.08,0.04,0.11,0.08,0.11,Matches
James Morrison,sct SCO,MF,31,4,2,207,2.3,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,1,11,16,0.43,0.00,0.43,0.43,0.43,0.44,0.04,0.49,0.44,0.49,Matches
Daniel Sturridge,eng ENG,FW,27,6,2,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,6,8,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.27,0.10,0.27,Matches
Boaz Myhill,wls WAL,GK,34,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rekeem Harper,eng ENG,MF,17,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,Matches
Nathan Ferguson,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ali Gabr,eg EGY,DF,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kyle Jameson,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jonathan Leko,eng ENG,"FW,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Max Melbourne,eng ENG,"DF,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alex Palmer,eng ENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rayhaan Tulloch,eng ENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kane Wilson,eng ENG,"DF,MF",17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sam Johnstone,eng ENG,GK,27,37,37,"3,330",37.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Darnell Furlong,eng ENG,DF,24,35,32,"2,932",32.6,1,3,4,1,0,0,5,0,2.0,2.0,1.9,4.0,44,78,104,0.03,0.09,0.12,0.03,0.12,0.06,0.06,0.12,0.06,0.12,Matches
Semi Ajayi,ng NGA,DF,26,33,31,"2,780",30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4,13,73,7,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,Matches
