Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Conor Coady,eng ENG,DF,25,38,38,"3,420",38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,11,78,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rui Patrício,pt POR,GK,30,37,37,"3,329",37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Willy Boly,ci CIV,DF,27,36,36,"3,167",35.2,4,0,4,4,0,0,2,1,3.6,3.6,2.1,5.6,29,136,12,0.11,0.00,0.11,0.11,0.11,0.10,0.06,0.16,0.10,0.16,Matches
Raúl Jiménez,mx MEX,FW,27,38,36,"3,111",34.6,13,7,20,11,2,2,4,0,15.1,13.6,6.3,19.8,76,82,236,0.38,0.20,0.58,0.32,0.52,0.44,0.18,0.62,0.39,0.57,Matches
Matt Doherty,ie IRL,"DF,MF",26,38,35,"3,144",34.9,4,5,9,4,0,0,5,0,4.4,4.4,5.1,9.5,80,129,221,0.11,0.14,0.26,0.11,0.26,0.13,0.15,0.27,0.13,0.27,Matches
João Moutinho,pt POR,MF,31,38,35,"3,032",33.7,1,8,9,1,0,0,4,0,0.7,0.7,6.5,7.2,34,220,48,0.03,0.24,0.27,0.03,0.27,0.02,0.19,0.21,0.02,0.21,Matches
Ryan Bennett,eng ENG,DF,28,34,34,"3,060",34.0,1,0,1,1,0,0,12,0,1.3,1.3,1.0,2.2,14,92,10,0.03,0.00,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,Matches
Rúben Neves,pt POR,MF,21,35,34,"3,007",33.4,4,3,7,2,2,2,8,0,4.0,2.4,1.9,4.3,15,206,12,0.12,0.09,0.21,0.06,0.15,0.12,0.06,0.18,0.07,0.13,Matches
Jonny Castro,es ESP,"DF,MF",24,33,32,"2,771",30.8,1,1,2,1,0,0,6,0,2.0,2.0,1.6,3.6,85,75,161,0.03,0.03,0.06,0.03,0.06,0.06,0.05,0.12,0.06,0.12,Matches
Diogo Jota,pt POR,"FW,MF",21,33,29,"2,355",26.2,9,5,14,9,0,0,11,0,8.8,8.8,5.3,14.0,125,71,182,0.34,0.19,0.54,0.34,0.54,0.34,0.20,0.54,0.34,0.54,Matches
