team,link
Manchester City,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
Manchester Utd,/en/squads/19538871/2017-2018/Manchester-United-Stats
Tottenham,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
Liverpool,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
Chelsea,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
Arsenal,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
Burnley,/en/squads/943e8050/2017-2018/Burnley-Stats
Everton,/en/squads/d3fd31cc/2017-2018/Everton-Stats
Leicester City,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
Newcastle Utd,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
Crystal Palace,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
Bournemouth,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
West Ham,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
Watford,/en/squads/2abfe087/2017-2018/Watford-Stats
Brighton,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
Huddersfield,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
Southampton,/en/squads/33c895d4/2017-2018/Southampton-Stats
Swansea City,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
Stoke City,/en/squads/17892952/2017-2018/Stoke-City-Stats
West Brom,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
Wolves,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
Cardiff City,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
Fulham,/en/squads/fd962109/2018-2019/Fulham-Stats
Sheffield Utd,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
Aston Villa,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
Norwich City,/en/squads/1c781004/2019-2020/Norwich-City-Stats
Leeds United,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
Brentford,/en/squads/cd051869/2021-2022/Brentford-Stats
Nott'ham Forest,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
Luton Town,/en/squads/e297cd13/2022-2023/Luton-Town-Stats
